character,codepoint,unicode_name,production_occurrences,loading_text_count,record_unique_indices,fixture_hits,JPN001C_present,JPN001C_glyph_index,JPN001C_rect,sample_contexts
守,U+5B88,CJK UNIFIED IDEOGRAPH-5B88,3,3,30;32;41,PAZ,YES,208,"(1609,403)-(1675,469)",我是和平的使者。\n我会守望着你。 || 我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。 || 人到最后要守住的……不是生命，而是名声！
完,U+5B8C,CJK UNIFIED IDEOGRAPH-5B8C,2,1,45,,YES,209,"(1679,403)-(1745,469)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
定,U+5B9A,CJK UNIFIED IDEOGRAPH-5B9A,1,1,55,,NO,0,"(4,1)-(25,67)",我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
实,U+5B9E,CJK UNIFIED IDEOGRAPH-5B9E,3,3,45;49;54,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || ……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！ || 我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
家,U+5BB6,CJK UNIFIED IDEOGRAPH-5BB6,5,5,26;35;37;49;54,KAZUHIRA_MILLER,YES,211,"(1818,403)-(1884,469)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。 || 我们只会战斗……\n但我们要活得不受国家局势摆布。
宿,U+5BBF,CJK UNIFIED IDEOGRAPH-5BBF,1,1,55,,YES,213,"(1957,403)-(2023,469)",我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
察,U+5BDF,CJK UNIFIED IDEOGRAPH-5BDF,2,1,52,,YES,215,"(72,470)-(138,536)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。 || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
对,U+5BF9,CJK UNIFIED IDEOGRAPH-5BF9,3,3,29;44;51,SNAKE,NO,0,"(4,1)-(25,67)",听好了，对我们来说，没有胜利可言。 || ……博士，和平不会自己走来。\n我们只能彼此走向对方。 || 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
将,U+5C06,CJK UNIFIED IDEOGRAPH-5C06,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
小,U+5C0F,CJK UNIFIED IDEOGRAPH-5C0F,1,1,49,,NO,0,"(4,1)-(25,67)",……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！
少,U+5C11,CJK UNIFIED IDEOGRAPH-5C11,2,1,28,,NO,0,"(4,1)-(25,67)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。
就,U+5C31,CJK UNIFIED IDEOGRAPH-5C31,7,6,23;25;32;52;55;56,PAZ,NO,0,"(4,1)-(25,67)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。
尸,U+5C38,CJK UNIFIED IDEOGRAPH-5C38,1,1,22,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
局,U+5C40,CJK UNIFIED IDEOGRAPH-5C40,1,1,37,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我们只会战斗……\n但我们要活得不受国家局势摆布。
岁,U+5C81,CJK UNIFIED IDEOGRAPH-5C81,1,1,49,,NO,0,"(4,1)-(25,67)",……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！
己,U+5DF1,CJK UNIFIED IDEOGRAPH-5DF1,3,3,31;44;53,,NO,0,"(4,1)-(25,67)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || ……博士，和平不会自己走来。\n我们只能彼此走向对方。 || 我在想，要不要别研究鸟了，自己飞上天空。
已,U+5DF2,CJK UNIFIED IDEOGRAPH-5DF2,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
布,U+5E03,CJK UNIFIED IDEOGRAPH-5E03,1,1,37,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我们只会战斗……\n但我们要活得不受国家局势摆布。
带,U+5E26,CJK UNIFIED IDEOGRAPH-5E26,3,3,39;54;56,RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。 || 我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。 || 难道……你就是伟大的领袖……\n请……带领我们……
常,U+5E38,CJK UNIFIED IDEOGRAPH-5E38,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
平,U+5E73,CJK UNIFIED IDEOGRAPH-5E73,6,5,30;31;32;44;54,PAZ,YES,221,"(486,470)-(552,536)",我是和平的使者。\n我会守望着你。 || 光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || 我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。
年,U+5E74,CJK UNIFIED IDEOGRAPH-5E74,2,2,25;36,,YES,222,"(555,470)-(621,536)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
底,U+5E95,CJK UNIFIED IDEOGRAPH-5E95,2,2,32;50,PAZ,NO,0,"(4,1)-(25,67)",我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。 || 这里的人到底怎么回事，怎么全是一群味觉野蛮人！
府,U+5E9C,CJK UNIFIED IDEOGRAPH-5E9C,1,1,26,,YES,223,"(624,470)-(690,536)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。
延,U+5EF6,CJK UNIFIED IDEOGRAPH-5EF6,1,1,31,,YES,225,"(762,470)-(828,536)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。
异,U+5F02,CJK UNIFIED IDEOGRAPH-5F02,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
弃,U+5F03,CJK UNIFIED IDEOGRAPH-5F03,3,2,28;35,,NO,0,"(4,1)-(25,67)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
当,U+5F53,CJK UNIFIED IDEOGRAPH-5F53,1,1,49,,NO,0,"(4,1)-(25,67)",……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！
彼,U+5F7C,CJK UNIFIED IDEOGRAPH-5F7C,1,1,44,,YES,227,"(902,470)-(968,536)",……博士，和平不会自己走来。\n我们只能彼此走向对方。
得,U+5F97,CJK UNIFIED IDEOGRAPH-5F97,5,4,37;48;51;54,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我们只会战斗……\n但我们要活得不受国家局势摆布。 || 如果遇到没见过的生物，记得告诉我。 || 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
必,U+5FC5,CJK UNIFIED IDEOGRAPH-5FC5,2,2,31;45,,YES,228,"(971,470)-(1037,536)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
志,U+5FD7,CJK UNIFIED IDEOGRAPH-5FD7,2,2,21;55,,YES,229,"(1041,470)-(1107,536)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
忠,U+5FE0,CJK UNIFIED IDEOGRAPH-5FE0,1,1,23,,YES,230,"(1111,470)-(1177,536)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？
怎,U+600E,CJK UNIFIED IDEOGRAPH-600E,2,1,50,,NO,0,"(4,1)-(25,67)",这里的人到底怎么回事，怎么全是一群味觉野蛮人！ || 这里的人到底怎么回事，怎么全是一群味觉野蛮人！
思,U+601D,CJK UNIFIED IDEOGRAPH-601D,1,1,42,,YES,231,"(1181,470)-(1247,536)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
怯,U+602F,CJK UNIFIED IDEOGRAPH-602F,1,1,36,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
总,U+603B,CJK UNIFIED IDEOGRAPH-603B,1,1,47,,NO,0,"(4,1)-(25,67)",总有一天，我想成为猎人。
息,U+606F,CJK UNIFIED IDEOGRAPH-606F,2,2,31;52,,NO,0,"(4,1)-(25,67)",光是叹息，和平不会到来，也不会延续。\n必须自己向它走去。 || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
悠,U+60A0,CJK UNIFIED IDEOGRAPH-60A0,2,1,46,,NO,0,"(4,1)-(25,67)",敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！ || 敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
情,U+60C5,CJK UNIFIED IDEOGRAPH-60C5,1,1,42,,YES,232,"(1249,470)-(1315,536)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
想,U+60F3,CJK UNIFIED IDEOGRAPH-60F3,9,9,20;21;35;38;39;42;47;53;54,RAMON_GALVEZ_MENA,YES,233,"(1318,470)-(1384,536)",我只想知道一件事——“真相”。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
意,U+610F,CJK UNIFIED IDEOGRAPH-610F,1,1,21,,YES,234,"(1388,470)-(1454,536)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
感,U+611F,CJK UNIFIED IDEOGRAPH-611F,1,1,42,,YES,236,"(1525,470)-(1591,536)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
慑,U+6151,CJK UNIFIED IDEOGRAPH-6151,2,1,45,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || 我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
慢,U+6162,CJK UNIFIED IDEOGRAPH-6162,1,1,46,,NO,0,"(4,1)-(25,67)",敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
成,U+6210,CJK UNIFIED IDEOGRAPH-6210,3,3,42;47;54,,YES,238,"(1663,470)-(1729,536)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。 || 总有一天，我想成为猎人。 || 我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
我,U+6211,CJK UNIFIED IDEOGRAPH-6211,35,21,20;21;22;25;26;28;29;30;32;37;39;40;44;45;47;48;49;53;54;55;56,SNAKE;PAZ;KAZUHIRA_MILLER;RAMON_GALVEZ_MENA,YES,239,"(1733,470)-(1799,536)",我只想知道一件事——“真相”。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
或,U+6216,CJK UNIFIED IDEOGRAPH-6216,1,1,55,,NO,0,"(4,1)-(25,67)",我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
战,U+6218,CJK UNIFIED IDEOGRAPH-6218,4,4,26;28;37;38,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 我们只会战斗……\n但我们要活得不受国家局势摆布。
所,U+6240,CJK UNIFIED IDEOGRAPH-6240,2,2,26;27,,NO,0,"(4,1)-(25,67)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
才,U+624D,CJK UNIFIED IDEOGRAPH-624D,2,2,36;40,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 正因为知道你是“BIG BOSS”，我们才来拜托你。
托,U+6258,CJK UNIFIED IDEOGRAPH-6258,1,1,40,,NO,0,"(4,1)-(25,67)",正因为知道你是“BIG BOSS”，我们才来拜托你。
把,U+628A,CJK UNIFIED IDEOGRAPH-628A,2,2,49;54,,NO,0,"(4,1)-(25,67)",……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！ || 我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
抛,U+629B,CJK UNIFIED IDEOGRAPH-629B,3,2,28;35,,NO,0,"(4,1)-(25,67)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
护,U+62A4,CJK UNIFIED IDEOGRAPH-62A4,1,1,32,PAZ,NO,0,"(4,1)-(25,67)",我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。
拜,U+62DC,CJK UNIFIED IDEOGRAPH-62DC,1,1,40,,NO,0,"(4,1)-(25,67)",正因为知道你是“BIG BOSS”，我们才来拜托你。
拿,U+62FF,CJK UNIFIED IDEOGRAPH-62FF,2,2,27;51,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 拿鸟的名字给兵器命名，你不觉得这是对鸟的侮辱吗？
挂,U+6302,CJK UNIFIED IDEOGRAPH-6302,1,1,24,,NO,0,"(4,1)-(25,67)",杀人换来的肮脏称号，你还一直挂在身上吗？
换,U+6362,CJK UNIFIED IDEOGRAPH-6362,1,1,24,,NO,0,"(4,1)-(25,67)",杀人换来的肮脏称号，你还一直挂在身上吗？
接,U+63A5,CJK UNIFIED IDEOGRAPH-63A5,1,1,39,RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
摆,U+6446,CJK UNIFIED IDEOGRAPH-6446,1,1,37,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我们只会战斗……\n但我们要活得不受国家局势摆布。
改,U+6539,CJK UNIFIED IDEOGRAPH-6539,1,1,34,,NO,0,"(4,1)-(25,67)",即使知道真相，也无法改变过去。
放,U+653E,CJK UNIFIED IDEOGRAPH-653E,1,1,35,,NO,0,"(4,1)-(25,67)",你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。
政,U+653F,CJK UNIFIED IDEOGRAPH-653F,1,1,26,,YES,249,"(413,537)-(479,603)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。
敌,U+654C,CJK UNIFIED IDEOGRAPH-654C,1,1,46,,NO,0,"(4,1)-(25,67)",敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
数,U+6570,CJK UNIFIED IDEOGRAPH-6570,1,1,36,,YES,250,"(482,537)-(548,603)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
斗,U+6597,CJK UNIFIED IDEOGRAPH-6597,3,3,26;28;37,KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 我们只会战斗……\n但我们要活得不受国家局势摆布。
方,U+65B9,CJK UNIFIED IDEOGRAPH-65B9,1,1,44,,NO,0,"(4,1)-(25,67)",……博士，和平不会自己走来。\n我们只能彼此走向对方。
无,U+65E0,CJK UNIFIED IDEOGRAPH-65E0,1,1,34,,NO,0,"(4,1)-(25,67)",即使知道真相，也无法改变过去。
旦,U+65E6,CJK UNIFIED IDEOGRAPH-65E6,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
早,U+65E9,CJK UNIFIED IDEOGRAPH-65E9,1,1,27,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
时,U+65F6,CJK UNIFIED IDEOGRAPH-65F6,2,2,42;46,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。 || 敌人什么时候来都不知道，哪还有空慢悠悠地吃饭！
明,U+660E,CJK UNIFIED IDEOGRAPH-660E,3,2,45;49,,YES,253,"(690,537)-(756,603)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。 || ……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！ || ……大家都把我当小孩子。\n我实在受不了。明明我都12岁了！
是,U+662F,CJK UNIFIED IDEOGRAPH-662F,24,18,21;22;23;26;27;30;31;32;39;40;41;43;45;50;51;52;55;56,PAZ;RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
暴,U+66B4,CJK UNIFIED IDEOGRAPH-66B4,1,1,27,,YES,255,"(830,537)-(896,603)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
最,U+6700,CJK UNIFIED IDEOGRAPH-6700,2,2,21;41,,YES,256,"(899,537)-(965,603)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 人到最后要守住的……不是生命，而是名声！
有,U+6709,CJK UNIFIED IDEOGRAPH-6709,9,8,26;27;28;29;35;42;46;47,SNAKE,NO,0,"(4,1)-(25,67)",不是为了国家，也不是为了政府。\n我们之所以战斗，是因为有人需要我们。 || 不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。
望,U+671B,CJK UNIFIED IDEOGRAPH-671B,1,1,30,,YES,257,"(969,537)-(1035,603)",我是和平的使者。\n我会守望着你。
本,U+672C,CJK UNIFIED IDEOGRAPH-672C,1,1,52,,YES,260,"(1177,537)-(1243,603)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
机,U+673A,CJK UNIFIED IDEOGRAPH-673A,1,1,43,,NO,0,"(4,1)-(25,67)",机器不会犯错。\n犯错的永远是人类。
杀,U+6740,CJK UNIFIED IDEOGRAPH-6740,4,3,23;24;25,,NO,0,"(4,1)-(25,67)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 杀人换来的肮脏称号，你还一直挂在身上吗？ || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
权,U+6743,CJK UNIFIED IDEOGRAPH-6743,1,1,23,,NO,0,"(4,1)-(25,67)",借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？
束,U+675F,CJK UNIFIED IDEOGRAPH-675F,1,1,42,,NO,0,"(4,1)-(25,67)",随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
来,U+6765,CJK UNIFIED IDEOGRAPH-6765,9,9,24;25;29;31;36;40;44;46;54,SNAKE,YES,261,"(1246,537)-(1312,603)",杀人换来的肮脏称号，你还一直挂在身上吗？ || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 听好了，对我们来说，没有胜利可言。
构,U+6784,CJK UNIFIED IDEOGRAPH-6784,1,1,21,,NO,0,"(4,1)-(25,67)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。
林,U+6797,CJK UNIFIED IDEOGRAPH-6797,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
果,U+679C,CJK UNIFIED IDEOGRAPH-679C,1,1,48,,NO,0,"(4,1)-(25,67)",如果遇到没见过的生物，记得告诉我。
枪,U+67AA,CJK UNIFIED IDEOGRAPH-67AA,1,1,27,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
标,U+6807,CJK UNIFIED IDEOGRAPH-6807,1,1,45,,NO,0,"(4,1)-(25,67)",我们的目标，是实现“完全的威慑力”。\n但要让“完全的威慑力”诞生，\n我们必须向全世界证明我们的力量。
样,U+6837,CJK UNIFIED IDEOGRAPH-6837,5,4,22;25;35;52,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。 || 我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
案,U+6848,CJK UNIFIED IDEOGRAPH-6848,1,1,22,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
森,U+68EE,CJK UNIFIED IDEOGRAPH-68EE,1,1,52,,YES,264,"(1451,537)-(1517,603)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
次,U+6B21,CJK UNIFIED IDEOGRAPH-6B21,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
正,U+6B63,CJK UNIFIED IDEOGRAPH-6B63,4,4,21;23;36;40,,YES,271,"(1927,537)-(1993,603)",不要人为编造的虚构……\n我要知道The Boss的真相……确认她最后的意志。\n这也正是你想知道的，不是吗。 || 借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
此,U+6B64,CJK UNIFIED IDEOGRAPH-6B64,3,3,32;36;44,PAZ,NO,0,"(4,1)-(25,67)",我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。 || 一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || ……博士，和平不会自己走来。\n我们只能彼此走向对方。
死,U+6B7B,CJK UNIFIED IDEOGRAPH-6B7B,3,3,22;23;55,,YES,273,"(72,604)-(138,670)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。 || 借任务的权力杀死真正的英雄。\n这就是你的“忠诚”吗？ || 我们的同志还不能算多。但我们一定会赢。\n胜利或死亡。这就是革命者的宿命。
每,U+6BCF,CJK UNIFIED IDEOGRAPH-6BCF,1,1,38,,NO,0,"(4,1)-(25,67)",你难道想辗转于一个又一个冲突地区，\n每次都被战场利用吗？
气,U+6C14,CJK UNIFIED IDEOGRAPH-6C14,1,1,52,,NO,0,"(4,1)-(25,67)",与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
永,U+6C38,CJK UNIFIED IDEOGRAPH-6C38,1,1,43,,NO,0,"(4,1)-(25,67)",机器不会犯错。\n犯错的永远是人类。
没,U+6CA1,CJK UNIFIED IDEOGRAPH-6CA1,5,5,29;35;42;48;52,SNAKE,NO,0,"(4,1)-(25,67)",听好了，对我们来说，没有胜利可言。 || 你抛弃了国家、身份、过去、理想，抛弃了一切。\n但还有一样东西，你始终没有放下。 || 随着在思想上身败名裂的The Boss，英雄的时代已经结束。\n今后，“没有感情的系统”将成为英雄。
法,U+6CD5,CJK UNIFIED IDEOGRAPH-6CD5,2,2,34;52,,NO,0,"(4,1)-(25,67)",即使知道真相，也无法改变过去。 || 与森林融为一体是观鸟者的基本功。\n鸟一旦察觉到人的气息，就会表现异常。\n那样就没法准确观察了。
洲,U+6D32,CJK UNIFIED IDEOGRAPH-6D32,1,1,39,RAMON_GALVEZ_MENA,NO,0,"(4,1)-(25,67)",中美洲是连接北美大陆和南美大陆的脐带。\n我们想要这里。
活,U+6D3B,CJK UNIFIED IDEOGRAPH-6D3B,5,4,28;32;36;37,PAZ;KAZUHIRA_MILLER,NO,0,"(4,1)-(25,67)",我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 我们抛弃了祖国。\n但我们还活着。\n也还在继续战斗。\n活下去的理由，要多少有多少。 || 我的名字是“Paz”。\n我会守护和平到底。\n我就是为此而活着的。
清,U+6E05,CJK UNIFIED IDEOGRAPH-6E05,1,1,54,,NO,0,"(4,1)-(25,67)",我确实想在革命成功后把国家变得和平。\n但要带来和平，首先得清除卖国贼。
照,U+7167,CJK UNIFIED IDEOGRAPH-7167,1,1,25,,NO,0,"(4,1)-(25,67)",我知道。\n十年前你做过什么，我也知道。\n来吧，也照样杀了我。\n就像杀The Boss那样。
爱,U+7231,CJK UNIFIED IDEOGRAPH-7231,1,1,22,,NO,0,"(4,1)-(25,67)",在从我爱过的女人那里听到答案之前，我还不能死……\n和你一样，是具行尸走肉。
物,U+7269,CJK UNIFIED IDEOGRAPH-7269,2,2,36;48,,YES,277,"(349,604)-(415,670)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。 || 如果遇到没见过的生物，记得告诉我。
犯,U+72AF,CJK UNIFIED IDEOGRAPH-72AF,2,1,43,,YES,278,"(418,604)-(484,670)",机器不会犯错。\n犯错的永远是人类。 || 机器不会犯错。\n犯错的永远是人类。
独,U+72EC,CJK UNIFIED IDEOGRAPH-72EC,1,1,36,,NO,0,"(4,1)-(25,67)",一个人不可能独自背负人类这个物种的终结。\n正因如此，胆怯的人类才在这数千年间存活下来。
狱,U+72F1,CJK UNIFIED IDEOGRAPH-72F1,1,1,27,,NO,0,"(4,1)-(25,67)",不管是不是革命，只要拿起枪诉诸暴力，\n迟早所有人都会下地狱。
猎,U+730E,CJK UNIFIED IDEOGRAPH-730E,1,1,47,,NO,0,"(4,1)-(25,67)",总有一天，我想成为猎人。
