character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
以,U+4EE5,CJK UNIFIED IDEOGRAPH-4EE5,Lo,CJK Unified Ideographs,3190,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#6: 只要能让敌人失去战斗能力，让其睡眠、昏迷或濒死都可以。 || YPK_GTT/1C0FB26B#16: 表现不错。以后也期待你的发挥。 || YPK_GTT/1C0FB26B#123: 干得好，这下可以着手营救Boss了！ || YPK_GTT/1C0FB26B#141: 要是Snake，就是“Snake-yan”。也可以叫我“Kazu-yan”。 || YPK_GTT/1C0FB26B#179: 没有哪个士兵会蠢到踩香蕉摔倒。所以香蕉不能当设置型武器。,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
仪,U+4EEA,CJK UNIFIED IDEOGRAPH-4EEA,Lo,CJK Unified Ideographs,46,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#7: 还没找到吗？试试使用夜视仪。 || YPK_GTT/1C0FB26B#55: 搜寻俘虏时夜视仪很有用。快找到他们。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8335: 分析仪 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8336: 分析仪 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8337: 分析仪,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
们,U+4EEC,CJK UNIFIED IDEOGRAPH-4EEC,Lo,CJK Unified Ideographs,1728,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#1: 前往目标地点。我们会在那里回收你。 || YPK_GTT/1C0FB26B#31: 干得好。这样他们也能安息了。 || YPK_GTT/1C0FB26B#55: 搜寻俘虏时夜视仪很有用。快找到他们。 || YPK_GTT/1C0FB26B#63: 别让敌人过去！在那里拦住他们！ || YPK_GTT/1C0FB26B#65: 不管是不是美军，虐待俘虏都不可原谅。一定要救出他们。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仰,U+4EF0,CJK UNIFIED IDEOGRAPH-4EF0,Lo,CJK Unified Ideographs,9,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19596: “198、199、200！哦，Boss，你来得正好！听我说，我刚刚连续做完了200个仰卧起坐。” || SLOT_OLANG/5D4C49A2#36087: 198、199、200！哦，Boss，你来得正好！听我说，我刚刚连续做完200个仰卧起坐。 || SLOT_OLANG/5D4C49A2#36443: 198、199、200！哦，Boss，你来得正好！听我说，我刚刚连续做完200个仰卧起坐。 || SLOT_OLANG/5D4C49A2#36799: 198、199、200！哦，Boss，你来得正好！听我说，我刚刚连续做完200个仰卧起坐。 || SLOT_OLANG/5D4C49A2#37155: 198、199、200！哦，Boss，你来得正好！听我说，我刚刚连续做完200个仰卧起坐。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
件,U+4EF6,CJK UNIFIED IDEOGRAPH-4EF6,Lo,CJK Unified Ideographs,2403,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#105: 把携带文件的敌人彻底击倒。否则无法回收文件，明白吗？ || YPK_GTT/1C0FB26B#106: 重要文件……会在哪里呢？ || YPK_GTT/1C0FB26B#108: 重要文件……说不定其实是情书之类的呢。 || YPK_GTT/1C0FB26B#109: 找到重要文件。也许对研究有帮助。 || YPK_GTT/1C7679A5#54: 已经没有地方存放AI兵器部件了。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
价,U+4EF7,CJK UNIFIED IDEOGRAPH-4EF7,Lo,CJK Unified Ideographs,69,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#160: 把他工作时一副很闲的照片公开出去，让他的评价跌到谷底。 || STAGEDAT_OLANG/LANG_V_THEATER010.OLANG#6445: 她以交出生命LIFE为代价，放弃了作为军人的一切…… || STAGEDAT_OLANG/LANG_MISSION_RESULT.OLANG#18169: 因为使用了“电磁网。”，所以无法获得S级评价。 || STAGEDAT_OLANG/LANG_MISSION_RESULT.OLANG#18180: 因为使用了隐形迷彩，所以无法获得S级评价。 || STAGEDAT_OLANG/LANG_MISSION_RESULT.OLANG#18185: 因为使用了带有言灵效果的CO-OPS通信，所以无法获得S级评价。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
任,U+4EFB,CJK UNIFIED IDEOGRAPH-4EFB,Lo,CJK Unified Ideographs,3048,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#0: 那里的任务已经完成了。前往目标地点。 || YPK_GTT/1C0FB26B#2: 任务完成了。快去目标地点…… || YPK_GTT/1C0FB26B#11: 任务完成。母基地的大家也会高兴的。 || YPK_GTT/1C0FB26B#14: 任务完成。干得好，Snake。 || YPK_GTT/1C0FB26B#60: 够了，太迟了……同伴死了……任务失败。,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
份,U+4EFD,CJK UNIFIED IDEOGRAPH-4EFD,Lo,CJK Unified Ideographs,97,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4320: 你抛弃了国家、身份、过去、理想，抛弃了一切。但还有一样东西，你始终没有放下。 || LOOSE_OLANG/007E2F18#4941: 上半身裸露状态下通关的任务数超过时授予，以表彰这份毅力。（英雄度增加） || LOOSE_OLANG/007E2F18#4943: 待在纸箱中的时间超过小时时授予，以表彰这份耐力。（英雄度增加） || LOOSE_OLANG/007E2F18#5275: Paz的真实身份 || LOOSE_OLANG/007E2F18#5527: 注意事项设置的玩家名称会在游戏内公开。此外，该名称可能会显示在本公司或经本公司许可的第三方可查看的位置、第三方发布的图片或游玩视频中，并可能通过Discord、Facebook、YouTube等平台公开。请勿设置可识别特定个人身份、可用于联系或以其他方式访问个人、侵犯第三方权利、违反公序良俗，或违反适用于本游戏的各项…,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
仿,U+4EFF,CJK UNIFIED IDEOGRAPH-4EFF,Lo,CJK Unified Ideographs,22,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#32: 我来模仿凤尾绿咬鹃的叫声。Kyohhh！Kyohhh！ || LOOSE_OLANG/007E2F18#5220: ・模仿鸟鸣 || STAGEDAT_OLANG/LANG_GAMEOVER.OLANG#13325: Snake，站起来，求你了！我给你模仿你一直想听的凤尾绿咬鹃叫声！ || STAGEDAT_OLANG/LANG_GAMEOVER.OLANG#14001: Snake，站起来，求你了！我给你模仿你一直想听的凤尾绿咬鹃叫声！ || SLOT_OLANG/5D3AF9CD#34023: 硬件模仿大脑结构，和我的舱相同，但作用完全不同。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
企,U+4F01,CJK UNIFIED IDEOGRAPH-4F01,Lo,CJK Unified Ideographs,16,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_DEMOTELOP2.OLANG#11792: 原案／企划／游戏设计 || SLOT_OLANG/5D3AF52D#33215: 政府声称他们是‘跨国企业的警卫’。 || SLOT_OLANG/5D3B05ED#35172: 你们将被视为企图肆意发射核武器的极端武装邪教集团！ || BRIEFING/BRIEFING_FILES_BLOCK_000000#5: 建造时当然也得到过政府和企业援助吧。可最终还是没能解决热效率问题，研究就此中止。 || BRIEFING/BRIEFING_FILES_BLOCK_000000#6: KGB通过一家掩护企业，把这座废弃平台低价买了下来……大概就是这么回事吧？,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
伊,U+4F0A,CJK UNIFIED IDEOGRAPH-4F0A,Lo,CJK Unified Ideographs,165,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7C72AD#10: 香蕉园附近经常能看到伊多墨纽斯巨型猫头鹰蝶。 || LOOSE_OLANG/007E2F18#5384: 哥斯达黎加・伊拉苏火山 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6042: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6240: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6282: 格罗兹尼格勒罗科沃伊贝雷格,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
伍,U+4F0D,CJK UNIFIED IDEOGRAPH-4F0D,Lo,CJK Unified Ideographs,37,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D1DF209#29746: 通过无线LAN接入点招募志愿加入MSF的士兵。志愿者都是身经百战的士兵，会冷静地检验Snake的实力。击败所有志愿者后，他们便会认可MSF的实力，并加入队伍。 || SLOT_OLANG/5D1DF209#29828: 通过无线LAN接入点招募志愿加入MSF的士兵。志愿者都是身经百战的士兵，会冷静地检验Snake的实力。击败所有志愿者后，他们便会认可MSF的实力，并加入队伍。 || SLOT_OLANG/5D1DF209#29910: 通过无线LAN接入点招募志愿加入MSF的士兵。志愿者都是身经百战的士兵，会冷静地检验Snake的实力。击败所有志愿者后，他们便会认可MSF的实力，并加入队伍。 || SLOT_OLANG/5D2362B8#30134: 通过AdHoc连接向附近玩家发起对战挑战。最多允许2支各3人的队伍。 || SLOT_OLANG/5D2362B8#30171: 无队伍划分的自由混战。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伏,U+4F0F,CJK UNIFIED IDEOGRAPH-4F0F,Lo,CJK Unified Ideographs,176,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#0: 如果附近潜伏着侦察SCOUT兵，很难发现他们。小心。 || YPK_GTT/1C677327#24: 这里能藏身的地方很多。也要小心伏击AMBUSH。 || YPK_GTT/1C79F2ED#1: 这地形很适合狙击手SNIPER潜伏。 || YPK_GTT/1C79F2ED#2: 如果我是敌人，就会在这里埋伏狙击手SNIPER。小心。 || YPK_GTT/1C7AF3AD#3: 有种不好的预感……这种地方很容易遭到伏击……,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
伐,U+4F10,CJK UNIFIED IDEOGRAPH-4F10,Lo,CJK Unified Ideographs,3,SLOT_OLANG,SLOT_OLANG/5DEDCB1E#90638: 捷克斯洛伐克制造的冲锋枪，作为车辆乘员的自卫武器而开发。其超紧凑设计专为在狭窄的车内空间使用而量身定制。Uz61的小巧结构使其异常易于操控，并拥有宽广的自动瞄准范围。虽然它后坐力低、射速相对较高，但弹药威力不足，需要精准瞄准并命中多枪才能发挥作用。配备有限次使用的消音器。消音器最终会磨损，请谨慎使用。 || SLOT_OLANG/5DEDCB1E#90639: 捷克斯洛伐克制造的冲锋枪，作为车辆乘员的自卫武器而开发。其超紧凑设计专为在狭窄的车内空间使用而量身定制。Uz61的小巧结构使其异常易于操控，并拥有宽广的自动瞄准范围。虽然它后坐力低、射速相对较高，但弹药威力不足，需要精准瞄准并命中多枪才能发挥作用。配备有限次使用的消音器。消音器最终会磨损，请谨慎使用。 || SLOT_OLANG/5DEDCB1E#90640: 捷克斯洛伐克制造的冲锋枪，作为车辆乘员的自卫武器而开发。其超紧凑设计专为在狭窄的车内空间使用而量身定制。Uz61的小巧结构使其异常易于操控，并拥有宽广有效的自动瞄准范围。虽然它后坐力低、射速相对较高，但弹药威力不足，需要精准瞄准并命中多枪才能发挥作用。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
休,U+4F11,CJK UNIFIED IDEOGRAPH-4F11,Lo,CJK Unified Ideographs,174,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#126: 没有军粮时，可以趴下休息。找个安全的地方。 || YPK_GTT/1C7679A5#135: 没军粮也没关系，趴下休息就行。 || YPK_GTT/1C7679A5#136: 集中力下降会要命，偶尔休息一下。 || YPK_GTT/1C7679A5#137: Snake，偶尔也休息一下。 || YPK_GTT/1C7679A5#138: 偶尔休息一下，这也是任务的一部分。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
众,U+4F17,CJK UNIFIED IDEOGRAPH-4F17,Lo,CJK Unified Ideographs,22,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10702: 试作型全自动霰弹枪。拥有出众的装弹量和射速，在霰弹枪中可发挥最高级别的威力。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10737: 轻量泵动式霰弹枪。配备瞄准镜。在保留霰弹枪特性的同时，还兼具出众的远距离射击性能。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#20697: 试作型全自动霰弹枪。拥有出众的装弹量和射速，在霰弹枪中可发挥最高级别的威力。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#20732: 轻量泵动式霰弹枪。配备瞄准镜。在保留霰弹枪特性的同时，还兼具出众的远距离射击性能。 || SLOT_OLANG/5D3AF96D#33754: 他们把毒品美国AMERICA合众国美国，用赚来的钱充当军费。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
优,U+4F18,CJK UNIFIED IDEOGRAPH-4F18,Lo,CJK Unified Ideographs,106,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#71: 听说俘虏都是优秀的游击队员。一定要回收他们。 || YPK_GTT/1C7BF2AD#5: 优先解决敌兵。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8044: 将雄火龙的优质翅膀完整切下所得的素材。其雄伟姿态无愧于天空王者。 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9762: 招募更优秀的士兵并合理分配，让MotherBase不断发展吧。 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF_SOLTYPE.OLANG#9875: 优衣库,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伙,U+4F19,CJK UNIFIED IDEOGRAPH-4F19,Lo,CJK Unified Ideographs,455,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#198: 拜托，为了阻止那家伙…… || YPK_GTT/1C0FB26B#255: 就是因为没早点解决那家伙，才会变成这样。 || YPK_GTT/1C677327#48: 看来这家伙没带ID卡。找别的士兵。 || YPK_GTT/1C677327#69: 哈哈，居然是情书。那家伙还真不能小看。 || YPK_GTT/1C7679A5#22: 刚才回收的那家伙挤不上满员的直升机，好像还一直吊在外面。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
会,U+4F1A,CJK UNIFIED IDEOGRAPH-4F1A,Lo,CJK Unified Ideographs,4258,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#1: 前往目标地点。我们会在那里回收你。 || YPK_GTT/1C0FB26B#11: 任务完成。母基地的大家也会高兴的。 || YPK_GTT/1C0FB26B#26: 我会找到你的！ || YPK_GTT/1C0FB26B#37: 听说周围指示器上会显现幽灵的存在。 || YPK_GTT/1C0FB26B#47: 那个幽灵好像不会离濒死的士兵太远……,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
伞,U+4F1E,CJK UNIFIED IDEOGRAPH-4F1E,Lo,CJK Unified Ideographs,30,BRIEFING | LOOSE_OLANG | SLOT_OLANG | YPK_GTT,YPK_GTT/1C79F2ED#24: 大叶蚁塔还有个别名，穷人的伞SOMBRILLADEPOBRE。 || YPK_GTT/1C79F2ED#24: 真的可以拿来当伞用。 || YPK_GTT/1C79F2ED#25: 穷人的伞SOMBRILLADEPOBRE吗…… || YPK_GTT/1C7A72ED#94: 大叶蚁塔也叫穷人的伞SOMBRILLADEPOBRE。 || YPK_GTT/1C7A72ED#94: 顾名思义，也真的能拿来当伞用。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伟,U+4F1F,CJK UNIFIED IDEOGRAPH-4F1F,Lo,CJK Unified Ideographs,27,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/00D0C740#5916: 难道……你就是伟大的领袖……请……带领我们…… || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8044: 将雄火龙的优质翅膀完整切下所得的素材。其雄伟姿态无愧于天空王者。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#15749: 将雄火龙的优质翅膀完整切下所得的素材。其雄伟姿态无愧于天空王者。 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19567: “听说进行CO-OPS时，可以知道对方曾经合作过的人里，谁是‘最伟大的英雄’。” || STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19640: “有时候我甚至会觉得，伟大的研究比人的生命更重要。”,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
传,U+4F20,CJK UNIFIED IDEOGRAPH-4F20,Lo,CJK Unified Ideographs,321,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#33: 看来你的声音传达给了那些徘徊的灵魂。 || YPK_GTT/1C7BF3AD#39: Snake！阻止伪装数据传输出去…！ || LOOSE_OLANG/007E2F18#5167: ●遗传影响 || LOOSE_OLANG/007E2F18#5171: ●向NORAD传递情报 || LOOSE_OLANG/007E2F18#5273: 怪物岛的传说,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伤,U+4F24,CJK UNIFIED IDEOGRAPH-4F24,Lo,CJK Unified Ideographs,544,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#140: 别误伤特工。 || YPK_GTT/1C0FB26B#182: 目标是让所有士兵投降HOLDUP……拜托，别伤害任何人。 || YPK_GTT/1C79F46D#36: 我们的技艺不是用来伤害同伴的。 || YPK_GTT/1C7A736D#9: 那样根本伤不了敌人。不可能赢！ || YPK_GTT/1C7A73ED#51: 别让炮击误伤同伴！,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伦,U+4F26,CJK UNIFIED IDEOGRAPH-4F26,Lo,CJK Unified Ideographs,166,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6012: 哥伦比亚巴兰基亚港沿岸 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6023: 哥伦比亚巴兰基亚港沿岸 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6210: 哥伦比亚巴兰基亚港沿岸 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6221: 哥伦比亚巴兰基亚港沿岸 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6252: 哥伦比亚巴兰基亚港沿岸,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伪,U+4F2A,CJK UNIFIED IDEOGRAPH-4F2A,Lo,CJK Unified Ideographs,350,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#7: 有些侦察SCOUT兵会用草木和泥土伪装。融入自然后更难对付。 || YPK_GTT/1C677327#21: 灌木里也许藏着伪装起来的狙击手。小心。 || YPK_GTT/1C677327#71: 目的地在云雾林另一边，是伪装成遗迹的研究设施。 || YPK_GTT/1C79F36D#14: 目的地是一座伪装成采掘场的地下基地。 || YPK_GTT/1C79F36D#15: Snake，前往那座伪装成采掘场的地下基地。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伯,U+4F2F,CJK UNIFIED IDEOGRAPH-4F2F,Lo,CJK Unified Ideographs,14,BRIEFING | SLOT_OLANG | YPK_GTT,YPK_GTT/1C7BF32D#46: 伯利恒之星…是我种的。 || SLOT_OLANG/5DEDCB1E#90806: 一种单兵便携式无后坐力炮，发射威力强大的84毫米炮弹。它采用克虏伯发射系统，将推进气体从炮管后方排出以消除后坐力。卡尔·古斯塔夫M2以高初速著称，与其他火箭筒相比，其射弹弹道更低、更平直，精度也因此更高。本型号经过改进，可发射填充催眠瓦斯的炮弹以及富尔顿回收气球，让使用者能从相对安全的距离执行富尔顿回收。非常适合那些… || SLOT_OLANG/5DEDCB1E#90807: 一种单兵便携式无后坐力炮，发射威力强大的84毫米炮弹。它采用克虏伯发射系统，将推进气体从炮管后方排出以消除后坐力。卡尔·古斯塔夫M2以高初速著称，与其他火箭筒相比，其射弹弹道更低、更平直，精度也因此更高。本型号经过改进，可发射填充催眠瓦斯的炮弹以及富尔顿回收气球，让使用者能从相对安全的距离执行富尔顿回收。非常适合那些… || SLOT_OLANG/5DEDCB1E#90808: 一种单兵便携式无后坐力炮，发射威力强大的84毫米炮弹。它采用克虏伯发射系统，将推进气体从炮管后方排出以消除后坐力。卡尔·古斯塔夫M2以高初速著称，与其他火箭筒相比，其射弹弹道更低、更平直，精度也因此更高。本型号经过改进，可发射填充催眠瓦斯的炮弹以及富尔顿回收气球，让使用者能从相对安全的距离执行富尔顿回收。非常适合那些… || SLOT_OLANG/5DEDCB1E#90809: 一种单兵便携式无后坐力炮，发射威力强大的84毫米炮弹。它采用克虏伯发射系统，将推进气体从炮管后方排出以消除后坐力。卡尔·古斯塔夫M2以高初速著称，与其他火箭筒相比，其射弹弹道更低、更平直，精度也因此更高。本型号经过改进，可发射多用途破甲弹。受控破片以改良后的分布模式飞散，扩大了杀伤范围，但降低了对每个单独目标的伤害。…,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
估,U+4F30,CJK UNIFIED IDEOGRAPH-4F30,Lo,CJK Unified Ideographs,44,BRIEFING | LOOSE_OLANG | SLOT_OLANG,LOOSE_OLANG/005184E3#3226: 招募MSF入队志愿者。志愿者都是身手不凡的士兵，正冷静地评估Snake的实力。击败所有志愿者后，他们就会认可MSF的实力并加入。 || SLOT_OLANG/5D3B01AD#34638: PeaceWalker在平地的估计最高速度为25英里 || SLOT_OLANG/5DA57090#65892: 是我太高估你了吗… || SLOT_OLANG/5DA57090#66340: 是我太高估你了吗… || SLOT_OLANG/5DA57090#66788: 是我太高估你了吗…,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
伴,U+4F34,CJK UNIFIED IDEOGRAPH-4F34,Lo,CJK Unified Ideographs,632,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#48: 急救！给同伴做心脏按摩！ || YPK_GTT/1C0FB26B#49: 给倒下的同伴做心脏按摩！ || YPK_GTT/1C0FB26B#50: 做心脏按摩！救救同伴！ || YPK_GTT/1C0FB26B#56: 快去牢房！救出同伴！ || YPK_GTT/1C0FB26B#57: 同伴正在赶过去！撑到他抵达！,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
伸,U+4F38,CJK UNIFIED IDEOGRAPH-4F38,Lo,CJK Unified Ideographs,7,BRIEFING | SLOT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#288: 连按拉紧橡皮筋！看画面下方的条确认拉伸程度。 || YPK_GTT/1C7679A5#292: 橡皮筋拉得够长后按！看画面下方的条确认拉伸程度。 || YPK_GTT/1C7B72ED#2: 那是从铁路货运站TERMINAL延伸出去的卡车运输路线。 || SLOT_OLANG/5D3B058D#34996: 当时CIA局长向我伸手，而我拒绝了那次握手。 || BRIEFING/BRIEFING_FILES_BLOCK_0182D0#8: 那盘磁带也是一样。高音域的延伸明显不同于现有卡带，设计也不错。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
似,U+4F3C,CJK UNIFIED IDEOGRAPH-4F3C,Lo,CJK Unified Ideographs,123,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C677327#26: 目标士兵所在的地方似乎有凤尾绿咬鹃在叫。仔细听。 || YPK_GTT/1C677327#77: 研究设施LAB似乎就在巨大的遗迹里。 || YPK_GTT/1C79F2AD#63: 通往目标设施的道路似乎被栅栏挡住了。 || YPK_GTT/1C79F2ED#18: 铁路货运站TERMINAL似乎就在绞刑台镇。 || YPK_GTT/1C79F2ED#22: 村子北边的水渠似乎可以当桥用。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
但,U+4F46,CJK UNIFIED IDEOGRAPH-4F46,Lo,CJK Unified Ideographs,867,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#3: 只剩前往目标地点了……但别放松警惕。 || YPK_GTT/1C0FB26B#151: 不能攻击敌人。也许很难，但这也算为了和平。 || YPK_GTT/1C0FB26B#189: 要找出狙击手SNIPER很困难……但别放弃，让他们失去战斗能力。 || YPK_GTT/1C0FB26B#235: 人海战术吗……谈不上合理，但确实有效。 || YPK_GTT/1C677327#86: Snake，巴黎姑娘虽好，但还是快去见Strangelove博士。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
位,U+4F4D,CJK UNIFIED IDEOGRAPH-4F4D,Lo,CJK Unified Ideographs,1052,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#102: 士兵也许知道目标的位置。审问一下。 || YPK_GTT/1C0FB26B#187: 别让敌人发现我们的位置！ || YPK_GTT/1C677327#23: 被发现的狙击手应该会立刻转移位置。 || YPK_GTT/1C79F2AD#15: 通过“部位目标辅助”，准星会自动修正到附近的部位目标。 || YPK_GTT/1C79F2AD#48: 命中的位置越靠近头部，效果越强。,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
低,U+4F4E,CJK UNIFIED IDEOGRAPH-4F4E,Lo,CJK Unified Ideographs,515,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#134: LIFE太低了！现在是打无线电的时候吗？ || YPK_GTT/1C7679A5#137: 长时间行动会降低集中力，在战场上是致命的。 || YPK_GTT/1C7679A5#272: 电池电量低。需要充电。 || YPK_GTT/1C7A72AD#23: 伪装指数越低，就越容易被敌人发现。 || YPK_GTT/1C7A72AD#24: 动作太大或发出巨响，都会降低伪装指数。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
住,U+4F4F,CJK UNIFIED IDEOGRAPH-4F4F,Lo,CJK Unified Ideographs,1373,BRIEFING | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#58: 快点，同伴的体力撑不住了！ || YPK_GTT/1C0FB26B#63: 别让敌人过去！在那里拦住他们！ || YPK_GTT/1C0FB26B#103: 要审问，就先用CQC控制住对方，再按。 || YPK_GTT/1C0FB26B#104: 要审问，就先用CQC控制住对方，再按。 || YPK_GTT/1C0FB26B#163: 不行。别让障碍物挡住，拍到目标全身。尽量让目标在画面里大一点。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
