character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
峻,U+5CFB,CJK UNIFIED IDEOGRAPH-5CFB,Lo,CJK Unified Ideographs,3,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02BEE0#4: 通常会在山谷底部修建水库，但这里太险峻了，我想应该做不到。 || BRIEFING/BRIEFING_FILES_BLOCK_06C9D0#1: 那可不行。你也知道，中美洲地形复杂又险峻，尤其是哥斯达黎加的加勒比海沿岸。 || BRIEFING/BRIEFING_FILES_BLOCK_06C9D0#2: 密林、湿地、山地……要想穿越任何险峻地形，到头来还是只能靠腿。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
翱,U+7FF1,CJK UNIFIED IDEOGRAPH-7FF1,Lo,CJK Unified Ideographs,3,SLOT_OLANG,SLOT_OLANG/5D904CFF#62678: GearREX充满谜团的龙族，别称“核龙”。虽然没有翱翔天空的翼膜，却可能因核辐射突变长出形似巨炮的突起，其强酸体液攻击没有任何防御手段。 || SLOT_OLANG/5D904CFF#62679: GearREX充满谜团的龙族，别称“核龙”。虽然没有翱翔天空的翼膜，却可能因核辐射突变长出形似巨炮的突起，其强酸体液攻击没有任何防御手段。 || SLOT_OLANG/5D904CFF#62680: GearREX充满谜团的龙族，别称“核龙”。虽然没有翱翔天空的翼膜，却可能因核辐射突变长出形似巨炮的突起，其强酸体液攻击没有任何防御手段。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
舆,U+8206,CJK UNIFIED IDEOGRAPH-8206,Lo,CJK Unified Ideographs,3,SLOT_OLANG,SLOT_OLANG/5D3AF54D#33353: 我们煽动反Somoza舆论，并支援反Somoza势力——桑地诺民族解放阵线FSLN。 || SLOT_OLANG/5D3B054D#34824: 你觉得国际舆论会怎么看？ || SLOT_OLANG/5D3B05ED#35171: 而这个事实、舆论和国际社会，会成为阻止新邪教势力诞生的威慑力。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
购,U+8D2D,CJK UNIFIED IDEOGRAPH-8D2D,Lo,CJK Unified Ideographs,3,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AF92D#33648: 用那笔收入购买食物和武器…… || SLOT_OLANG/5D3AFDED#34432: 可用金钱购买的威慑力量，‘无国界军队’。这也是一种新体系。 || BRIEFING/BRIEFING_FILES_BLOCK_023940#7: 好像是被商家收购以后，就会和其他国家的咖啡豆混在一起……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
郑,U+90D1,CJK UNIFIED IDEOGRAPH-90D1,Lo,CJK Unified Ideographs,3,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_011E60#1: 怎么了，突然这么郑重其事。 || BRIEFING/BRIEFING_FILES_BLOCK_082710#12: 可被一个女科学家郑重地告诉“日晒会让皮肤老化”，我突然也开始害怕了。 || BRIEFING/BRIEFING_MISSION_BLOCK_37FB90#1: 怎么了，这么郑重其事的。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
醇,U+9187,CJK UNIFIED IDEOGRAPH-9187,Lo,CJK Unified Ideographs,3,SLOT_OLANG,SLOT_OLANG/5D904CFF#62575: BonCurryGold212001年，作为“21世纪标准咖喱”，品质与分量都更加充实的「BonCurryGold21」开始发售。各口味不只是辣度不同，甜味果香浓郁，中辣醇厚鲜美，辣味辛香十足，特辣兼具辛辣与美味，每种辣度都有各自鲜明的风味。 || SLOT_OLANG/5D904CFF#62576: BonCurryGold212001年，作为“21世纪标准咖喱”，品质与分量都更加充实的「BonCurryGold21」开始发售。各口味不只是辣度不同，甜味果香浓郁，中辣醇厚鲜美，辣味辛香十足，特辣兼具辛辣与美味，每种辣度都有各自鲜明的风味。 || SLOT_OLANG/5D904CFF#62862: 百事NEX彻底追求“零卡路里也美味”的可乐。口感醇厚却清爽利落，而且“零卡路里”。仍保留可乐特有的畅快饮感。以醒目的黑色为基调、辅以银色渐变的时尚设计也广受欢迎。“NEX”源自新时代可乐（NEXTCOLA）。同时包含“NEWEXCITEMENT（新刺激）”“NEWEXPERIENCE（新体验）”“NEWEXPECTA…,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
韧,U+97E7,CJK UNIFIED IDEOGRAPH-97E7,Lo,CJK Unified Ideographs,3,BRIEFING | LOOSE_OLANG | SLOT_OLANG,"LOOSE_OLANG/00D345A5#5928: 轰龙拥有强韧的肉体，锋利的獠牙能咬碎一切。堪称绝对的强者。没有任何东西能阻挡它的冲锋。一旦将它激怒，猎人恐怕只能做好死亡的觉悟。CAPCOMCO.,LTD. || SLOT_OLANG/5D904CFF#62681: 轰龙拥有强韧的肉体，锐利獠牙足以咬碎一切。堪称绝对的强者，无人能够阻挡它的冲锋。一旦将其激怒，猎人恐怕只能做好死亡的觉悟。©CAPCOMCO.,LTD. || BRIEFING/BRIEFING_FILES_BLOCK_041360#7: 我们的同伴个个都很有韧性。肯定也能帮上MSF的忙。",TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
鼎,U+9F0E,CJK UNIFIED IDEOGRAPH-9F0E,Lo,CJK Unified Ideographs,3,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AF9CD#33932: 冷战鼎盛时期的英雄…… || BRIEFING/BRIEFING_FILES_BLOCK_034C20#4: 有大名鼎鼎的CIA在背后撑腰，当然了。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
厮,U+53AE,CJK UNIFIED IDEOGRAPH-53AE,Lo,CJK Unified Ideographs,2,BRIEFING | YPK_GTT,YPK_GTT/1C79F46D#36: 我养育你、锻炼你，并不是为了让你我互相厮杀。 || BRIEFING/BRIEFING_FILES_BLOCK_038F80#5: 是啊……就算分成敌我双方互相厮杀，对方也终究只是人……CIALACIA的雇佣兵也好，国民警卫队LAGUARDIA也好……还有美国的普通民众，应该也一样。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
哔,U+54D4,CJK UNIFIED IDEOGRAPH-54D4,Lo,CJK Unified Ideographs,2,YPK_GTT,YPK_GTT/1C7679A5#267: 讨厌，这香味……那个，电话，哔哔……嗯……眼里只剩你了……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嚷,U+56B7,CJK UNIFIED IDEOGRAPH-56B7,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_MISSION_BLOCK_37CB00#4: 她的伤明明还没痊愈，却已经嚷着要离开医务室去战斗了。 || BRIEFING/BRIEFING_MISSION_BLOCK_37CB00#7: 不，还在医务室。她嚷着“无论如何都要出去”，把医疗人员折腾得够呛。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
孙,U+5B59,CJK UNIFIED IDEOGRAPH-5B59,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00B0B0#10: 对了……说起来，你们国家的孙子不也说过类似的话吗？ || BRIEFING/BRIEFING_FILES_BLOCK_00B0B0#11: 诶？不，孙子不是日本的，是中国的……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
宴,U+5BB4,CJK UNIFIED IDEOGRAPH-5BB4,Lo,CJK Unified Ideographs,2,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7987: 燕尾服。用于晚宴等场合，并不适合战场任务。伪装率也相当低，需要多加注意。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#15692: 燕尾服。用于晚宴等场合，并不适合战场任务。伪装率也相当低，需要多加注意。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
斩,U+65A9,CJK UNIFIED IDEOGRAPH-65A9,Lo,CJK Unified Ideographs,2,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_V_THEATER010.OLANG#6433: 迷惘已经斩断了…… || STAGEDAT_OLANG/LANG_V_THEATER010.OLANG#6435: 已经斩断了。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
晋,U+664B,CJK UNIFIED IDEOGRAPH-664B,Lo,CJK Unified Ideographs,2,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AF54D#33402: 你晋升为英雄BIGBOSSBIGBOSS。 || BRIEFING/BRIEFING_FILES_BLOCK_08DAB0#12: 实际上，苏联自己也清楚这一点。首次成功飞行的加加林，甚至在重返大气层前就被破格晋升了两级。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
李,U+674E,CJK UNIFIED IDEOGRAPH-674E,Lo,CJK Unified Ideographs,2,YPK_GTT,YPK_GTT/1C677327#46: 行李满了。不扔掉东西就捡不了新道具。 || YPK_GTT/1C7679A5#175: 行李满了。不丢掉点东西就捡不了新道具。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
棵,U+68F5,CJK UNIFIED IDEOGRAPH-68F5,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_03C190#2: 不断从一棵树的掩护转移到另一棵树，从空中就很难掌握你的位置。这就是取胜的机会。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
浏,U+6D4F,CJK UNIFIED IDEOGRAPH-6D4F,Lo,CJK Unified Ideographs,2,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_EXTRA.OLANG#7770: 浏览新闻。 || STAGEDAT_OLANG/LANG_EXTRA.OLANG#12688: 浏览新闻。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
滥,U+6EE5,CJK UNIFIED IDEOGRAPH-6EE5,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_029400#2: 这一带的河流经常泛滥。洪水溢出时会冲刷地表，到处都留下这样的沟槽。 || BRIEFING/BRIEFING_FILES_BLOCK_029A10#0: 河流泛滥时会侵蚀河岸，形成沼地。这一带经常能见到这种地形。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
漩,U+6F29,CJK UNIFIED IDEOGRAPH-6F29,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_019D90#12: 憧憬会催生新的憧憬，最终变成把全人类都卷进去的巨大漩涡。 || BRIEFING/BRIEFING_FILES_BLOCK_019D90#13: Snake，不，Boss，你会成为那漩涡的中心。抢先一步引领那个时代吧！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
焚,U+711A,CJK UNIFIED IDEOGRAPH-711A,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00E980#3: B-29此后仍毫不留情地焚毁日本的主要城市。 || BRIEFING/BRIEFING_FILES_BLOCK_0652F0#9: 木造建筑连根被掀飞，焚烧倒塌……。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
痹,U+75F9,CJK UNIFIED IDEOGRAPH-75F9,Lo,CJK Unified Ideographs,2,LOOSE_OLANG | SLOT_OLANG,LOOSE_OLANG/007E2F18#4268: 麻痹吧！ || SLOT_OLANG/5D48F045#35907: 麻痹吧！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
眯,U+772F,CJK UNIFIED IDEOGRAPH-772F,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_MISSION_BLOCK_37B8C0#4: 据说那家伙被女兵们……被Paz劝着……擅离岗位去吃她们亲手做的饭。还一副色眯眯的样子！！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
羡,U+7FA1,CJK UNIFIED IDEOGRAPH-7FA1,Lo,CJK Unified Ideographs,2,BRIEFING | YPK_GTT,YPK_GTT/1C0FB26B#164: 闲得发慌的指挥官吗……真让人羡慕。 || BRIEFING/BRIEFING_FILES_BLOCK_03DDC0#2: 真羡慕你们。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
蕴,U+8574,CJK UNIFIED IDEOGRAPH-8574,Lo,CJK Unified Ideographs,2,SLOT_OLANG,SLOT_OLANG/5D904CFF#62577: BonCurry1968年2月12日，世界首款面向市场销售的蒸煮袋食品「BonCurry」正式发售（最初仅限阪神地区）。如今已深入人心的名称“BonCurry”，是由法语BON（好、美味）与英语CURRY（咖喱）组合而成，蕴含着“美味咖喱”的含义。 || SLOT_OLANG/5D904CFF#62578: BonCurry1968年2月12日，世界首款面向市场销售的蒸煮袋食品「BonCurry」正式发售（最初仅限阪神地区）。如今已深入人心的名称“BonCurry”，是由法语BON（好、美味）与英语CURRY（咖喱）组合而成，蕴含着“美味咖喱”的含义。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
谴,U+8C34,CJK UNIFIED IDEOGRAPH-8C34,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_004F80#5: 话虽如此，这项条约已经有20多个国家批准。要是公然践踏，必然会遭到国际社会谴责。 || BRIEFING/BRIEFING_FILES_BLOCK_0716A0#14: 是啊。不过吸烟迟早会在全世界受到谴责，因为既伤害自己，也伤害别人。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
蹑,U+8E51,CJK UNIFIED IDEOGRAPH-8E51,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_013100#2: 也就是说，不需要再蹑手蹑脚地走了。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
迢,U+8FE2,CJK UNIFIED IDEOGRAPH-8FE2,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_045030#8: 不算远。按达尔文的理论，人类不也从非洲千里迢迢来到这里了吗。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
钉,U+9489,CJK UNIFIED IDEOGRAPH-9489,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_086E20#8: Miller连我的意见都没问，就已经把这件事告诉了所有人，于是我唱歌也成了板上钉钉的事。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
驰,U+9A70,CJK UNIFIED IDEOGRAPH-9A70,Lo,CJK Unified Ideographs,2,BRIEFING | YPK_GTT,YPK_GTT/1C7A736D#37: 真大，简直是驰骋陆地的战舰。 || BRIEFING/BRIEFING_FILES_BLOCK_0323D0#5: 因此他充分利用地利，驰骋在祖国NICARAGUA的山野之间，以神出鬼没的战术把海军陆战队耍得团团转。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
骋,U+9A8B,CJK UNIFIED IDEOGRAPH-9A8B,Lo,CJK Unified Ideographs,2,BRIEFING | YPK_GTT,YPK_GTT/1C7A736D#37: 真大，简直是驰骋陆地的战舰。 || BRIEFING/BRIEFING_FILES_BLOCK_0323D0#5: 因此他充分利用地利，驰骋在祖国NICARAGUA的山野之间，以神出鬼没的战术把海军陆战队耍得团团转。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
Č,U+010C,LATIN CAPITAL LETTER C WITH CARON,Lu,Other,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_04FF60#11: 就像捷克作家KarelČapek在《罗素姆万能机器人》中描写的那样，人们也害怕拥有智能的机器人反过来反抗人类。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
侃,U+4F83,CJK UNIFIED IDEOGRAPH-4F83,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5DD9B1F3#88738: 略带调侃、真遗憾,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
侣,U+4FA3,CJK UNIFIED IDEOGRAPH-4FA3,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C7679A5#214: 情侣装吗……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
倚,U+501A,CJK UNIFIED IDEOGRAPH-501A,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_034C20#8: 连我们倚仗的老爸MIVIEJO也失去了……。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
冕,U+5195,CJK UNIFIED IDEOGRAPH-5195,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_001700#3: 我们也没什么冠冕堂皇的信念……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
匀,U+5300,CJK UNIFIED IDEOGRAPH-5300,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C7A73ED#6: ZEKEZEKE的装甲并不均匀。瞄准装甲薄弱处！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
吝,U+541D,CJK UNIFIED IDEOGRAPH-541D,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D2DCCC3#30683: 由美国与西德这两个西方坦克强国联手，计划共同开发的下一代坦克试作车辆（西德方面开发型号）。这是一辆重武装坦克，除120mm滑膛炮外还装备20mm防空机关炮，并毫不吝惜地采用夜视装置、自动装填装置、间隙装甲等最尖端技术。与随伴步兵协同作战时，其威力不容小觑。集中力量歼灭步兵部队！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咨,U+54A8,CJK UNIFIED IDEOGRAPH-54A8,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_SKILL.OLANG#19809: 心理咨询师,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咻,U+54BB,CJK UNIFIED IDEOGRAPH-54BB,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C0FB26B#225: 再不快点他就醒了。赶紧让他‘咻——’一下飞走吧。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
啪,U+556A,CJK UNIFIED IDEOGRAPH-556A,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19718: “从背后靠近敌人，用电击棒电得噼里啪啦！连我这边都觉得麻了！”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嘎,U+560E,CJK UNIFIED IDEOGRAPH-560E,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C79F42D#34: 嘎——！呜——！吼——！咕咕咕……嘶——！嗷——！,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
噼,U+567C,CJK UNIFIED IDEOGRAPH-567C,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19718: “从背后靠近敌人，用电击棒电得噼里啪啦！连我这边都觉得麻了！”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
垦,U+57A6,CJK UNIFIED IDEOGRAPH-57A6,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_02A0B0#5: 为了建造只种香蕉的大片农场……动物们被赶出了遭到开垦的森林。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
奠,U+5960,CJK UNIFIED IDEOGRAPH-5960,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_04E760#0: AlanTuring博士也被称为计算机科学之父。可以说，AI的基础理论就是由他奠定的。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
娴,U+5A34,CJK UNIFIED IDEOGRAPH-5A34,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_020E90#1: 这些士兵单兵战斗力并不算特别高，但配合非常娴熟，很难对付。光是那些机器的火力就已经够要命了。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
婴,U+5A74,CJK UNIFIED IDEOGRAPH-5A74,Lo,CJK Unified Ideographs,1,LOOSE_OLANG,LOOSE_OLANG/005184E3#3207: “《少年Magazine》是1953年3月17日创刊的。那时候我还只是个婴儿呢。”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
媲,U+5AB2,CJK UNIFIED IDEOGRAPH-5AB2,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D2DCCC3#30697: 苏联的新锐主战坦克。设计在攻击力、机动性、防御力之间取得良好平衡，尤其主炮的125mm滑膛炮在威力上足以与西方坦克相媲美。今后将会成为东方各国陆战的主角。车辆本身的战斗力就已十分惊人，再加上随伴步兵部队的战力更会令人难以招架。为了尽早消灭步兵战斗班，请充分携带反步兵装备。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
宰,U+5BB0,CJK UNIFIED IDEOGRAPH-5BB0,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D3B05AD#35101: 管它呢！就这么任人宰割地死去才是败犬,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
屹,U+5C79,CJK UNIFIED IDEOGRAPH-5C79,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_06CD50#4: “你制造的核武器永远不会被使用，它会成为永远屹立的和平象征ICON。”他这么说。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
岂,U+5C82,CJK UNIFIED IDEOGRAPH-5C82,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_04D7E0#5: 但如果这是真的，那么人类岂不就是“身体”这台机器MACHINE中寄宿着名为“心灵”的幽灵GHOST吗？,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
怔,U+6014,CJK UNIFIED IDEOGRAPH-6014,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00E980#47: 就在那一刻，我听见自己的声音，猛地一怔。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
恬,U+606C,CJK UNIFIED IDEOGRAPH-606C,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_088F20#51: 在美国，她会被当作恬不知耻的卖国贼……。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
惘,U+60D8,CJK UNIFIED IDEOGRAPH-60D8,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_V_THEATER010.OLANG#6433: 迷惘已经斩断了……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
惬,U+60EC,CJK UNIFIED IDEOGRAPH-60EC,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0813E0#29: 那里似乎也是Nuke最喜欢的地方之一，它也一脸惬意地躺在那里。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
扒,U+6252,CJK UNIFIED IDEOGRAPH-6252,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C7679A5#35: 刚收到报告，好像不知什么时候有个敌兵扒在富尔顿直升机上。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
扼,U+627C,CJK UNIFIED IDEOGRAPH-627C,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_024590#9: 而且我觉得，必须不断找出灾祸的萌芽，并努力把它扼杀掉。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
挞,U+631E,CJK UNIFIED IDEOGRAPH-631E,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_061FE0#4: 还有塔坦苹果挞。萨瓦兰也不能少。千层酥MILLE-FEUILLE、可丽饼、牛奶冻……。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
掂,U+6382,CJK UNIFIED IDEOGRAPH-6382,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19532: “我还纳闷身体怎么这么沉，原来装备总重有60kg……难怪气力会下降。装备太重也得好好掂量啊。”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
揽,U+63FD,CJK UNIFIED IDEOGRAPH-63FD,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_0075D0#14: 但也只能继续走下去。除了赢得战斗，也要留意招揽人手、扩大组织MSF。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
搂,U+6402,CJK UNIFIED IDEOGRAPH-6402,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_07A0B0#44: 她轻轻搂住了我颤抖的肩膀。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
擞,U+64DE,CJK UNIFIED IDEOGRAPH-64DE,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19691: “精神抖擞！力量涌现！！激情迸发！！！”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
斧,U+65A7,CJK UNIFIED IDEOGRAPH-65A7,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_009DB0#1: 干嘛啊，Snake。我可是在日本自卫队拿过游骑兵资格的，说白了就是游击战术专家。虽说自己这么讲有点那个，可你这不是班门弄斧吗？,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
旷,U+65F7,CJK UNIFIED IDEOGRAPH-65F7,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00E980#41: 美国已经被旷日持久的越南战争拖得筋疲力尽。一边在国外打仗，一边又在国内高喊和平。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
春,U+6625,CJK UNIFIED IDEOGRAPH-6625,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_MISSION_BLOCK_3835A0#4: 不过，就算只是暂住，让一个正值青春的女孩每天待在海上平台上，肯定也会闷坏。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
晦,U+6666,CJK UNIFIED IDEOGRAPH-6666,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_073590#8: 她说话的方式真的很有知性。对那部晦涩电影的解读、洞察，还有谈起AI时的热情……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
棱,U+68F1,CJK UNIFIED IDEOGRAPH-68F1,Lo,CJK Unified Ideographs,1,STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19599: “活得有棱有角一点，我觉得也没什么不好。”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
槛,U+69DB,CJK UNIFIED IDEOGRAPH-69DB,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00A8A0#11: 正因如此，开战的门槛也低。也拜此所赐，我们从来不缺饭碗。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
檐,U+6A90,CJK UNIFIED IDEOGRAPH-6A90,Lo,CJK Unified Ideographs,1,YPK_GTT,YPK_GTT/1C7A72ED#22: 小巷和屋檐下视野很差。小心别和敌人迎面撞上。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
沫,U+6CAB,CJK UNIFIED IDEOGRAPH-6CAB,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_082710#4: 接着，她咽了口唾沫，说：“皮肤真漂亮啊……。”,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
沮,U+6CAE,CJK UNIFIED IDEOGRAPH-6CAE,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_019970#4: 别那么沮丧，Snake。研发班开发出了一种新的碳酸饮料。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
