record_index,status,mapped_codepoints,record_file_offset,record_hex,u0,v0,u1,v1,bearing_x,width,advance,reserved,own_nonzero,own_bbox,paired_00c7_nonzero,paired_00c7_bbox,own_sha256,paired_00c7_sha256
155,USED,U+4F7F,,,1889,269,1955,335,0,66,69,0,1971,"[0,3,63,64]",,,2dfa46aabb904ff57cb858271ecf5a1eca881a0ba14a3ee1673b1634813e2db3,
156,USED,U+4F9B,,,1958,269,2024,335,2,66,69,0,1828,"[2,3,63,64]",,,be2d79ac871a6fef0f09715e611a0c54b544af53809d9c7308f5ccece53889b5,
157,USED,U+4FDD,,,3,336,69,402,2,66,67,0,1878,"[2,3,65,64]",,,20235fa85a24c2df3bbb1b3ba8327810c0e975e11add4365628827cd04e3fdc2,
158,USED,U+4FFA,,,72,336,138,402,2,66,69,0,2165,"[2,3,63,64]",,,3cc7ade6e169731355f061fb2e87f2eb6b0e64205fada39e3da7b6dd5f9ae802,
159,USED,U+5049,,,140,336,206,402,1,66,69,0,1940,"[1,3,63,63]",,,d8a8010aef734ebb15e88524b5e76e9098ade2067e3c9eb76f9d285d56d6eb3f,
160,USED,U+50D5,,,208,336,274,402,1,66,68,0,2141,"[1,3,64,64]",,,81f43dabb43d6329bf30a73014453ef4b7c7b5ebf3643d9132d6075e56f85e48,
161,USED,U+5168,,,278,336,344,402,3,66,69,0,1225,"[3,3,63,61]",,,f7c55dbc219484f17ff76c1c32a15f8138f628b6a6bd8dda1bd6ac739a2c7f1d,
162,USED,U+5171,,,349,336,415,402,4,66,69,0,1401,"[4,4,63,63]",,,1f720d17c2812d4fdec4721897c02f2387eeaa7e9299e05c2993929ae0bb619b,
163,USED,U+5175,,,419,336,485,402,3,66,69,0,1376,"[3,3,63,64]",,,ef49cf9af4dd0ce5c0d3710b8d8f5b033d9a13cdb1fe654c12b20ea72e6efc9b,
164,USED,U+5185,,,492,336,558,402,6,66,69,0,1591,"[6,3,63,64]",,,36bac9490e4884b49b3393e50591bf287dda1f448ab824976ed0c5144933cd66,
165,USED,U+51FA,,,565,336,631,402,6,66,70,0,1592,"[6,4,62,62]",,,c1566b7acc77f67fe2382766d544300ebdfbf21e6985cd90fcf5cb41593734c8,
166,USED,U+5206,,,636,336,702,402,4,66,67,0,1270,"[4,4,65,64]",,,5322e55b58fbba84a3a651ced66316c02b8eaa58416af052147681d848cb487f,
167,USED,U+521D,,,705,336,771,402,2,66,69,0,1921,"[2,3,63,64]",,,2a0b4e8734f41fcce3a6667bdddb7dbfa0e0c8a815cc051410a81744104b194c,
168,USED,U+5229,,,774,336,840,402,2,66,70,0,1830,"[2,4,62,63]",,,ad62bfb7df6ecfca475586b4984ca71b9ac7085173c779111861b05f7524f831,
169,USED,U+524D,,,844,336,910,402,3,66,69,0,1928,"[3,2,63,64]",,,28e03579b72a012760414216603b96e7f74028df6182d5e8c275b72ca7f96586,
170,USED,U+5275,,,913,336,979,402,2,66,68,0,2317,"[2,3,64,64]",,,c545e59c57ded921820e4cae427990bcd4301736a199227e3a381b482713cda0,
171,USED,U+529B,,,984,336,1050,402,4,66,71,0,1145,"[4,4,61,63]",,,67d0fe8bd36fea1c297be8d50e0e700b574cba4ac4445498809c797d9bb39e7c,
172,USED,U+529F,,,1053,336,1119,402,2,66,70,0,1607,"[3,3,62,63]",,,5e60cea2060235ac447b3502f71ab040b3b47f51bf061646422ae1e4df773dc8,
173,USED,U+52D9,,,1122,336,1188,402,2,66,69,0,1990,"[2,3,63,63]",,,a778ef31caf1eb4724fdcb84b7f3d4f9e3757a752e3d5c63dd54ce6762835d32,
174,USED,U+52DD,,,1191,336,1257,402,2,66,68,0,2355,"[2,3,64,64]",,,0328a69e314597d61fb86d3ce27a19b7ed2f3e4c5d73a645e6467ba963e402ec,
175,USED,U+5316,,,1259,336,1325,402,1,66,69,0,1541,"[2,3,63,64]",,,d7893235eeef72ed9e1edde103b100381d65dbd23a92a246bc42dfaa2dac4db1,
176,USED,U+5317,,,1329,336,1395,402,3,66,68,0,1563,"[4,4,64,63]",,,37974b225be81e3608ebab09432c9eccf584f283f36fe1939210c2239004caa4,
177,USED,U+5343,,,1400,336,1466,402,4,66,69,0,891,"[4,5,63,64]",,,079955e75e29d15082894ba7ee7309d72625e73bb698e71694cc1ebc0c0a37c2,
178,USED,U+5357,,,1471,336,1537,402,4,66,68,0,1871,"[4,4,64,64]",,,590b5a4ed3ac171bb6fa551cb8cacf2bdf71192307a059c3fa496d3dd3e1311a,
179,USED,U+535A,,,1540,336,1606,402,2,66,68,0,2076,"[2,3,64,64]",,,f23042da0b174c56112b68e865dcf7040d0286a96ccb5cf5be8b7af5bf9b9852,
180,USED,U+53BB,,,1609,336,1675,402,2,66,69,0,1283,"[3,4,63,64]",,,6d6ca3e0a3e74b9bc4fdaa19fc6b921b6c998727c4cf52f2caa2e3bbf76fef2b,
181,USED,U+540C,,,1682,336,1748,402,6,66,70,0,1836,"[6,3,62,64]",,,416ee653dc30024b2225aeff9fa1913d105246f8164c71cb21ba1b72dadc3ff2,
182,USED,U+540D,,,1754,336,1820,402,5,66,71,0,1341,"[5,3,61,63]",,,928b1e68f8d074b27ecd5a9e3624e0f2e2cef81a9946886cfa4497f0a96e65f1,
183,USED,U+5411,,,1827,336,1893,402,6,66,70,0,1708,"[6,3,62,64]",,,5e7cb8bee61088fa395f7fced098890d3cf47da4f55606597414da4b92c0d049,
184,USED,U+5473,,,1898,336,1964,402,4,66,67,0,1835,"[4,2,65,63]",,,48b0a6d1cc34f3b2cd2db580eea6a7c86b384c47f55f45eaae9aba7ae53c1fa8,
185,USED,U+547D,,,2,403,68,469,1,66,68,0,1701,"[2,3,64,63]",,,aacb7605cad9167f58612a28d375fed7021e5311debf7ce429f0008d33714669,
186,USED,U+548C,,,72,403,138,469,3,66,69,0,1809,"[3,3,63,63]",,,b9266d002f7222a1ce38d4c1903abf5f0d1112ab8e0515d831a78a4efc4eb36c,
187,USED,U+5606,,,144,403,210,469,5,66,68,0,1998,"[5,3,64,64]",,,cc5db011fa96c5622f2aec48e82ccd14f58e84256707987d7269782291b30ff4,
188,USED,U+5668,,,212,403,278,469,1,66,68,0,2156,"[2,4,64,64]",,,97d3f84a6463529b2ec59a3518fa43b66f357ef7fd3d842e331926e509972ced,
189,USED,U+56FD,,,285,403,351,469,6,66,68,0,1941,"[6,3,64,63]",,,cd192d6eeadbef3c3159506e3f1e71f0d4a9eb5f48228d42821bad403186f884,
190,USED,U+5728,,,355,403,421,469,3,66,69,0,1418,"[3,3,63,63]",,,d112b70c36ca1c56619c883cc80d30404d233cdec65eabb4214c82b8a3d01926,
191,USED,U+5730,,,424,403,490,469,2,66,68,0,2109,"[2,3,64,62]",,,d2b9beed0807e07052cce98d3a22ac3aa22899bdc9065c292ec89ca231f76c29,
192,USED,U+57FA,,,492,403,558,469,1,66,68,0,1785,"[1,4,64,62]",,,6c01f7261dfa3ab179513977642328eb7102267e6aa9b697f15b440d552212f9,
193,USED,U+5815,,,561,403,627,469,2,66,69,0,2114,"[2,2,63,61]",,,853d972e350d59647d9479fa9e23f9ddd427f9dab8a03924b04672bd7fe55cdf,
194,USED,U+5834,,,630,403,696,469,2,66,67,0,2097,"[2,2,65,64]",,,ceec82e70bf74f419acc0243da58ea29f27a755b9a67a095bedcae1117d4357a,
195,USED,U+589C,,,700,403,766,469,3,66,69,0,2079,"[3,2,63,61]",,,61db104b7a08f347918baa8d53ed2dc4bc8d7fac0760be2dde1f0d9bee8d8713,
196,USED,U+58EB,,,770,403,836,469,3,66,69,0,863,"[3,4,63,59]",,,e05847bde0971a5ae32f2ce0e3e0db289d0133ffe62c703df93114fb0c72d95d,
197,USED,U+58F0,,,840,403,906,469,3,66,69,0,1247,"[3,3,63,64]",,,903c1051b503e54f493d95530704d976bf2cb7000b8cf03f0aab76f93a51d87c,
198,USED,U+58F2,,,910,403,976,469,3,66,68,0,1594,"[3,3,64,64]",,,01d450c3a1441baa32f5866a306ab1f30fdbc6f5de06f0ab08820ec02502af81,
199,USED,U+5909,,,980,403,1046,469,3,66,69,0,1738,"[3,4,63,64]",,,7b973b2bdfe9ce2133648a491b31e7eb4867a3f8d6abf4e7f1e96dcc3d1c42bb,
200,USED,U+591A,,,1050,403,1116,469,3,66,68,0,1442,"[4,2,64,64]",,,8e941d716d4025a51eeb1911ca76cc937869761742f2b17852218294614e0356,
201,USED,U+5927,,,1120,403,1186,469,3,66,69,0,1068,"[3,4,63,63]",,,ce3ce4e476a1f5e54ded045b6e8cd0db4ce92de176b875b4181d6d7a7bd0ae20,
202,USED,U+5931,,,1190,403,1256,469,3,66,68,0,1321,"[3,4,64,64]",,,2e51767b03ffc5ebe07821fabf25878b0eecb011e0914353d986f9299578922a,
203,USED,U+5973,,,1260,403,1326,469,3,66,69,0,1380,"[3,4,63,64]",,,825e66483b4f9b7046844019826881752c4b96c8fb9cd33775cc46aeb596927e,
204,USED,U+5974,,,1329,403,1395,469,2,66,68,0,1746,"[2,3,64,64]",,,6c2569a42e3a43e262c106d436e26f80c855e52043bcda2a1ed285217c27d0ad,
205,USED,U+59CB,,,1399,403,1465,469,3,66,68,0,1952,"[3,2,64,63]",,,4b6390f384ba0304959eb9f88b31d3e9b66307e9b06d91af0eb94601b60e4ef1,
206,USED,U+5B50,,,1469,403,1535,469,3,66,69,0,892,"[3,4,63,64]",,,44094e67881f079d4b8f100b03c78b0c46c71c0ef955bfe5874948045ec56cbc,
207,USED,U+5B58,,,1539,403,1605,469,3,66,68,0,1431,"[3,3,64,65]",,,bb056b4f72bda53cf20f67d1424c89eb868e38edf9abb84273b4dc373bf381bb,
208,USED,U+5B88,,,1609,403,1675,469,3,66,68,0,1236,"[3,3,64,64]",,,c84f131c4b33d2dd787a939d4757f7c44fb530c1e423833fca3f100a6dc57d1e,
209,USED,U+5B8C,,,1679,403,1745,469,3,66,67,0,1448,"[3,4,65,64]",,,8e03982b806fcce3d796d3a7a5888f068d5b59029062a20d14cdb3ea4a4377bf,
210,USED,U+5B9F,,,1749,403,1815,469,3,66,69,0,1523,"[3,4,63,63]",,,59875a56d17596cc5373338667774caef7b370b12a4515c2c6c67f9740d62a94,
211,USED,U+5BB6,,,1818,403,1884,469,2,66,68,0,1653,"[2,3,64,64]",,,f757d404a51f96b37606e8fdf65b1f6769708dfc6ef99a31bdf77d56f5c3844b,
212,USED,U+5BB9,,,1888,403,1954,469,3,66,69,0,1605,"[3,3,63,64]",,,ec7d09e10239ba4baecc5acf600deb98a1933129b154cf42590735c4eb5d3f5e,
213,USED,U+5BBF,,,1957,403,2023,469,2,66,69,0,1808,"[2,3,63,64]",,,ff4b8b5e5e726badf2f70b90d1993c2de762328f62e330aec69617a9679da8ae,
214,USED,U+5BC4,,,3,470,69,536,2,66,69,0,1696,"[3,3,63,64]",,,05690318963dd50027bb33522fe7a06e0dad41ad208a72ecb41d7e7e4b59f3ff,
215,USED,U+5BDF,,,72,470,138,536,2,66,68,0,1920,"[2,3,64,64]",,,9f40a062586b623b90ff52432a67376b70bfc9d48091baef451306fd9fc12b97,
216,USED,U+5BFE,,,141,470,207,536,2,66,68,0,1586,"[2,4,64,63]",,,2451d487f064ddc05f0a5bd656d7f31058c368ff4277637cc0dea2258b1071f0,
217,USED,U+5C0E,,,210,470,276,536,2,66,69,0,1952,"[2,3,63,64]",,,2be92f20faf5ab8b4ef1671ce7af1517c5c6674388e554fb273068947178078b,
218,USED,U+5C4D,,,279,470,345,536,2,66,69,0,1993,"[2,3,63,64]",,,85716af4e7792714c334edbf621389409b7eafd3e8252f743a7e262793861f84,
219,USED,U+5DE6,,,348,470,414,536,2,66,70,0,1139,"[2,4,62,60]",,,ffa42228a39caa9ee25a3f579d9c4edcfd36ab8572213fa37f0c781cf26514a8,
220,USED,U+5E2F,,,417,470,483,536,2,66,68,0,1881,"[2,3,64,64]",,,d112ce411acda18c0390cd8850ae0e2a887b1b5016e322cdfb423ad7bbc819d1,
221,USED,U+5E73,,,486,470,552,536,2,66,69,0,1228,"[3,3,63,64]",,,032ed23dde106e800bf5424f5f0e05d1d8a7f71ad61c52c896f155c36f5fa6c7,
222,USED,U+5E74,,,555,470,621,536,2,66,69,0,1292,"[2,3,63,63]",,,6ddf9a727bf9bb8597de93ae6fe6a9974f514b5bb08fe05e49621a608ba20fdf,
223,USED,U+5E9C,,,624,470,690,536,2,66,68,0,1864,"[2,3,64,64]",,,2c767d54b7826568d15230f74d1d5d778ba83e4b4b46104e67115f5f7c56ee23,
224,USED,U+5EA6,,,693,470,759,536,2,66,68,0,1877,"[2,3,63,64]",,,5b9002bb970e2ce14d5dae379d63689f47afc7c242a034deb0407251b4d00f5c,
225,USED,U+5EF6,,,762,470,828,536,2,66,68,0,2001,"[2,4,64,64]",,,6e22d157d83b0d8c7345b6dc0d1b89a12ecbab0f010fc435cc42d4d76272feb3,
226,USED,U+5F04,,,833,470,899,536,4,66,69,0,1389,"[4,5,63,64]",,,21f75b3c33a79616c2c5f2092d2adbf1f4e69b4a85b86f74484d5bce6acde0e2,
227,USED,U+5F7C,,,902,470,968,536,2,66,68,0,2060,"[2,3,64,64]",,,c57f5b883c7d5a7f2a68902b9520406bd4ca3980a4eab59824c45f9000cfbb78,
228,USED,U+5FC5,,,971,470,1037,536,2,66,69,0,1582,"[2,4,63,62]",,,ad3b78391fed049019ecb6de631d72b2cd811a33bad186bbd7792ff9b5e5b862,
229,USED,U+5FD7,,,1041,470,1107,536,3,66,68,0,1469,"[3,2,64,62]",,,f7b2020bce94e8ced62437341430cc5144b7e9e03efce960efa346916e84cc7a,
230,USED,U+5FE0,,,1111,470,1177,536,3,66,69,0,1674,"[3,3,63,62]",,,88ffff33cb7b08a5f5f35b45f02ad57d12e94869e007c17b5f83db26226ea8e7,
231,USED,U+601D,,,1181,470,1247,536,3,66,68,0,1894,"[3,3,64,62]",,,aeeac11d5d5281b4b0e4105aba1f792bdc8710ee979b4bdc09565eb23a777742,
232,USED,U+60C5,,,1249,470,1315,536,1,66,69,0,2029,"[1,3,63,64]",,,c33cdea07dc28d511fffe83b5a14981f1bc3e3d379c3ce9665f97b0170d9eb8d,
233,USED,U+60F3,,,1318,470,1384,536,2,66,69,0,2106,"[2,3,63,62]",,,f200abd65d8a1f835d14fd58727269ffc9220933c2c205d6521e17a838dab319,
234,USED,U+610F,,,1388,470,1454,536,3,66,68,0,1831,"[3,3,64,62]",,,f64fdf2bc5ca65f3b973937e5489f7127f9da19d0fbaa2f27b5336ede123b092,
235,USED,U+611B,,,1457,470,1523,536,2,66,68,0,2148,"[2,3,64,64]",,,aa6ebff06df561b88ddc866a0b00bdabc66d4a3d59fb29d12eb2fd196aa241c5,
236,USED,U+611F,,,1525,470,1591,536,1,66,68,0,2293,"[1,2,64,62]",,,4c51c93329fa4b9faa1872884d9a80028c526a90e1e1dd8aee2361d79703d9e9,
237,USED,U+614B,,,1593,470,1659,536,1,66,68,0,2354,"[1,3,64,62]",,,063660bc15f94e28601ba235c17e5243b6540a178072d323fd065a5c8cfae25a,
238,USED,U+6210,,,1663,470,1729,536,3,66,68,0,1834,"[4,4,64,64]",,,0e5a673fc8ec868e7ee91e886e63368a2fdc57e096a0ddf6bffe20056391dbeb,
239,USED,U+6211,,,1733,470,1799,536,3,66,68,0,1887,"[3,3,64,62]",,,1c0896037932cff12dcef63b093f825e9a4ab1e6b2b0c8ba80d5423d72691490,
240,USED,U+6226,,,1802,470,1868,536,2,66,67,0,2220,"[2,3,65,64]",,,459f0d455b3e72bf8227497184ebc1799a284a1282d1bee51d489a98a3352e8e,
241,USED,U+623B,,,1872,470,1938,536,3,66,70,0,1615,"[3,4,62,63]",,,f2f199991f52e1fda8befb6e39502940d6492ad3d35775aab43a6a6d9f485198,
242,USED,U+624B,,,1941,470,2007,536,2,66,69,0,1122,"[2,5,63,64]",,,255b33f88b94f5dfb4e2e669ff5f7b9484d912ac77259638d130628f70487068,
243,USED,U+6271,,,3,537,69,603,2,66,68,0,2044,"[2,2,64,63]",,,faef31d9fb0907a8ac5e62038b9d29e0c96859334fe0abadc47b29bbb84f454f,
244,USED,U+6291,,,71,537,137,603,1,66,70,0,2144,"[1,3,62,64]",,,8c6cf0bd7e15724beff68baffc5815a18a23e536c01cf996b1f4b10e54a496c5,
245,USED,U+629C,,,139,537,205,603,1,66,68,0,1897,"[2,4,64,64]",,,c3e43dab4b51d3978c1b036007a06e5f15c2d2b3479f58f65f996c924f82b4e3,
246,USED,U+629E,,,209,537,275,603,3,66,68,0,1839,"[3,3,64,64]",,,7af6c2c7400ecaa02cab4046f273189ecb8f9758ddbe205aa2b3ad994a333cac,
247,USED,U+6307,,,278,537,344,603,2,66,69,0,2020,"[2,3,63,64]",,,7ea74ac5788bfad09fb46601549a6660097f4eb593e95817d4822d3f6d4a4cda,
248,USED,U+6392,,,345,537,411,603,0,66,68,0,2118,"[1,3,64,64]",,,0b428d5047f880b6892601bcf013402934ff4cf2055a9773b750d711fe22a171,
249,USED,U+653F,,,413,537,479,603,1,66,67,0,1832,"[1,3,65,64]",,,b54a7ce58722b2409f2215ab08d8e27da6c68bff261d508b5b10b3db30ae4a69,
250,USED,U+6570,,,482,537,548,603,2,66,68,0,1973,"[3,3,64,64]",,,0c9e8f54b08fa1e23b88e874e766163718fab5a775cab07a32ad40baf53d1a24,
251,USED,U+6575,,,550,537,616,603,1,66,67,0,2166,"[2,3,64,64]",,,6dbeb47d2abd4dab005002ff542cad77b3ceb70b779276ab8a714d706609616d,
252,USED,U+65B0,,,618,537,684,603,1,66,68,0,2036,"[1,3,64,64]",,,e907b75b03c75d43adb43916c882905819bb4a64d8af94ba1ed00ce8a0450616,
253,USED,U+660E,,,690,537,756,603,5,66,70,0,1960,"[5,3,62,64]",,,70c9c504e1cb59740e0f617e3b70a6d13f7f06d28dcd2c4f55e2b7024ada7084,
254,USED,U+6642,,,762,537,828,603,5,66,68,0,1797,"[5,4,64,63]",,,d767834e671580e10008f8e658c610b950767bdba386f4e2fd1fe596b4faf2d9,
255,USED,U+66B4,,,830,537,896,603,1,66,68,0,2057,"[1,3,64,64]",,,2cfb4d585f7d8b2fbc581a104152b4c0a7ce15b89cfee482ab9b57e7a7c8434a,
256,USED,U+6700,,,899,537,965,603,2,66,68,0,1964,"[2,3,64,65]",,,4e18c41ee17a67f50df8297773e321ea050c30f5db15a6bb5eaf35c14e4b6bd8,
257,USED,U+671B,,,969,537,1035,603,3,66,69,0,1855,"[3,2,63,61]",,,82444eac0a63f5843126860dd48542dbf65513e5bcfe183d8ac60c195e031ec0,
258,USED,U+671F,,,1038,537,1104,603,2,66,69,0,2261,"[2,3,63,63]",,,583c081f5698380bfc38a194e5712d813619d1d57c09acb5f92530a285184094,
259,USED,U+672B,,,1108,537,1174,603,3,66,69,0,1341,"[3,3,63,64]",,,37fdade014b8ed4a4e35266e50b3d204f705674035a456b9c4adad3db158fd45,
260,USED,U+672C,,,1177,537,1243,603,2,66,68,0,1367,"[2,3,64,64]",,,9cf5cb4ec9f6ef85b49febf90ffac1c72ecbfee92875c964dbe59d8f5f7bb72c,
261,USED,U+6765,,,1246,537,1312,603,2,66,69,0,1534,"[2,3,63,64]",,,8272f3ec9670af3ec16e9956186832478d10bd2f9f2f46b0b5b15ea7771e4b47,
262,USED,U+68B0,,,1314,537,1380,603,1,66,68,0,2141,"[1,3,64,64]",,,b8cf260269650e60bacd6cdf8b176c44aceb42d1be46ff83f653aeb4e455e44f,
263,USED,U+68C4,,,1383,537,1449,603,2,66,67,0,2057,"[2,3,65,64]",,,4031dad6d0b787e9a966201fb3f4ab19d291ab9aee34c4ac4a03cb9db1dab67d,
264,USED,U+68EE,,,1451,537,1517,603,1,66,67,0,1947,"[1,3,65,64]",,,a292603e98b5ba0b99adb157fc3254ce1a687e01957c863e11a9ca7660730132,
265,USED,U+69CB,,,1518,537,1584,603,0,66,67,0,2433,"[1,3,65,64]",,,dc9ea7ab9481424c7a302d7c2b5fc517694cdf50c633d63d7e0913dea81a6bae,
266,USED,U+6A19,,,1586,537,1652,603,1,66,68,0,2178,"[1,3,64,64]",,,2146a1931ac00aebb230cd78b23f68c36919feaacb94958d4bae764d8dc6e20e,
267,USED,U+6A29,,,1653,537,1719,603,0,66,69,0,2206,"[1,3,63,63]",,,2903078cfefca3e42d2677391e79ea33bbfbd8a89d8aac0b8c0cd46d16e81eff,
268,USED,U+6A5F,,,1721,537,1787,603,1,66,69,0,2463,"[1,2,63,64]",,,168e355a548ae1f0d721264b87a9edad3efb289fd6c63aed31dd45b75ca54b21,
269,USED,U+6B32,,,1788,537,1854,603,0,66,67,0,1889,"[1,2,65,64]",,,b86ed81626e25e80b5fb396d67f3c00ed7b0ad656646bc6d41aab056659e842a,
270,USED,U+6B62,,,1857,537,1923,603,2,66,69,0,1177,"[3,3,63,61]",,,9d04dea4fcecc86ec9cade49cf06d0cdd0857dacca77306d0ccd3cb455cd7fe8,
271,USED,U+6B63,,,1927,537,1993,603,3,66,69,0,1192,"[3,5,63,61]",,,ece5f315b22061aa4194ac7b0cee6702561710456ec82dc0b40335a1114c32ff,
272,USED,U+6B69,,,3,604,69,670,2,66,69,0,1550,"[2,4,63,64]",,,f06a50e4fc9df18e4849aba05338e7cf249aa58c3855c0986545a4bd08a4275e,
273,USED,U+6B7B,,,72,604,138,670,2,66,69,0,1641,"[2,4,63,63]",,,fc5a1a027e9895c0449f69d5be42ac769cacc35c345e32a8e9338c9cbf5c0bb5,
274,USED,U+6BBA,,,140,604,206,670,1,66,68,0,2066,"[1,3,64,64]",,,b84dd61c8da944b03fcf6bf69343fd5cff28a0e462d22ed4e877567abfbeeb5f,
275,USED,U+6C17,,,210,604,276,670,3,66,69,0,1524,"[3,3,63,64]",,,5a800c8c65444fbe81334f6c32e128db5567fdcdbc1a4245922ab628131a4cff,
276,USED,U+6E21,,,280,604,346,670,3,66,69,0,2154,"[3,3,63,64]",,,cac91c73c1729f5077a1051003d4fd3871ef5a9436b03cc11acc5b637a360e55,
277,USED,U+7269,,,349,604,415,670,2,66,68,0,2144,"[2,3,64,64]",,,f90a920d1b5bc0ad4495506a1d12e671e940fd95d2c6dd233bb3fd12b6e0a881,
278,USED,U+72AF,,,418,604,484,670,2,66,68,0,1873,"[2,5,64,64]",,,82194cb72433435cbb86d78c0e174d64728e08a84d7cb67fb9d156a03d58d867,
279,USED,U+72B6,,,487,604,553,670,2,66,68,0,1702,"[2,4,64,64]",,,395d3ab941e4bf163e118e71aaab2bf451d234878ef39ecb4bce01487fdb3e68,
280,USED,U+7344,,,556,604,622,670,2,66,67,0,2115,"[2,3,65,64]",,,cad43d92cbba2296594723530cc94cd226544c7d7a2740429b2f786b63aa8328,
281,USED,U+73FE,,,624,604,690,670,1,66,68,0,2011,"[1,3,64,64]",,,51a6c155667960cb680ae5f49ba0110ddc7f3060c66073d2fd404ccc90f7f4a8,
282,USED,U+7406,,,692,604,758,670,1,66,69,0,1996,"[2,3,63,61]",,,ea59ff8839b49ea413c6cbab852ff25baf23e9093f9b5cabdaaa195fb3159f63,
283,USED,U+751F,,,762,604,828,670,3,66,70,0,1172,"[3,4,62,59]",,,a23309c74e23961fd68349ac00a5cb33dbaee2059b725e1a01dead02a24eae9a,
284,USED,U+7528,,,832,604,898,670,3,66,72,0,1683,"[3,4,60,63]",,,f09af35dc0125a923d9f528969ce4f0ae78c3d99556d9115784dea10967759a1,
285,USED,U+7531,,,907,604,973,670,8,66,71,0,1538,"[8,4,61,63]",,,f8d1b2d46f5d73ab0596946d658374803b6c5dc69938b8308f87127b9672e07f,
286,USED,U+754C,,,977,604,1043,670,3,66,69,0,1748,"[3,2,63,65]",,,f3a41ffcef2eb7fe42702e2846465aa5243a0a20288165259ce922e5c9a8f15a,
287,USED,U+7570,,,1047,604,1113,670,3,66,68,0,1797,"[3,3,64,63]",,,c7f97e0aaf83d11e6df5728b391ebee0beb6557d6bf18064f559c35f77a3e048,
288,USED,U+75C5,,,1115,604,1181,670,1,66,69,0,2018,"[1,3,63,63]",,,58c56b5c7666eaa064de48d65993e7dab3760de6c7527163f67d8822fcbc4650,
289,USED,U+7686,,,1184,604,1250,670,2,66,68,0,1899,"[2,3,64,64]",,,294f46a3592cb655565465c153bf7e9a17f9d9fdb7655cbce76cf87f0f58f0ce,
290,USED,U+76EE,,,1263,604,1329,670,12,66,75,0,1310,"[12,4,57,63]",,,82e71ede1ebd8ef44a99559bfc612328160507f44673ce2b0b74e838f4de3069,
291,USED,U+771F,,,1332,604,1398,670,2,66,69,0,1645,"[3,3,63,64]",,,2c8a6654172da5a1ac0740c996cff63c0f18bd07087446e7abeae6683cf726a5,
292,USED,U+77E5,,,1401,604,1467,670,2,66,69,0,1860,"[2,3,63,64]",,,d451587e79338a6eccd99c7105c264a58ec3ee044b346015dd08599f5f2014ac,
293,USED,U+7814,,,1468,604,1534,670,0,66,67,0,1993,"[1,4,65,63]",,,283ab0dcb7a86493721ca32b49a2aaf1270b7cf184d32b49a3ed82cdc7943d8c,
294,USED,U+78BA,,,1535,604,1601,670,0,66,68,0,2256,"[1,3,64,64]",,,8529bd4ee92c4f5be16b11b5c7358f965eb7a78541484bcb1ab7cad3f928b104,
295,USED,U+793C,,,1605,604,1671,670,3,66,69,0,1495,"[3,4,63,64]",,,64f4b3de158fe483d0e86af21699fe1b93a86c4d941784309686afc69645eac9,
296,USED,U+7956,,,1673,604,1739,670,1,66,68,0,1898,"[1,4,64,64]",,,b2fe3ddc3f750153ab9a5992609469fd3e4d39ca2594e469f7a02cc8064a11ca,
297,USED,U+79C1,,,1742,604,1808,670,2,66,69,0,1681,"[2,4,63,64]",,,97b7cf2f749dd425492767953c36579e812da974c22b3d8cefe2ecc9019c19db,
298,USED,U+7A2E,,,1810,604,1876,670,1,66,68,0,2245,"[1,3,64,63]",,,c8514efd82c36c528875b6837abf382d7a3cb26cf9556572bf5313ed346474bf,
299,USED,U+7A62,,,1877,604,1943,670,0,66,67,0,2366,"[1,3,65,64]",,,5ce433330bac8aa6a8cb24b44a0afa9be268f2b734160643eb1932417fe21301,
300,USED,U+7A76,,,1946,604,2012,670,2,66,68,0,1662,"[2,3,64,63]",,,6bfc75e47eca9f3d3830ac3b061a04921d143c776cd59cde868318985221a3ae,
301,USED,U+7A7A,,,3,671,69,737,2,66,68,0,1533,"[2,3,64,61]",,,b0ea19983f3dff654060ddbe3cdb5a4c57aa13b99edfd091a254637fa0c62078,
302,USED,U+7B54,,,72,671,138,737,2,66,68,0,1642,"[3,2,64,64]",,,c214a8c68e45c70c3445a5ef50a4417f3de60a75213b9bac07bd15d78c4c8b87,
303,USED,U+7C73,,,142,671,208,737,3,66,69,0,1505,"[3,3,63,64]",,,17535165311cef1a35bfedf1ef19ff2e73ec110bfc54f29805561d42cdb43060,
304,USED,U+7D1B,,,211,671,277,737,2,66,68,0,2022,"[2,3,64,65]",,,91915a85f0d2ae10d0950f607bb901e58af3c3f69034f1cabd9613f8772e3522,
305,USED,U+7D42,,,280,671,346,737,2,66,68,0,1983,"[2,3,64,63]",,,10485a1c5730b28490305b46082ef2b35a06af2c5b6bd5d58bb1b643bd8fdd5a,
306,USED,U+7D9A,,,348,671,414,737,1,66,68,0,2221,"[1,2,64,63]",,,0a564c02899d8beb8aee7794b5e53bc2482a15e76aad7802a807985933d28e56,
307,USED,U+7DD2,,,416,671,482,737,1,66,68,0,2251,"[2,3,64,65]",,,02b682c2be641fb4839ca43594c7742742c197b11877c3ccf699a0131e9b63a8,
308,USED,U+7E4B,,,485,671,551,737,2,66,68,0,2264,"[2,3,64,63]",,,320553155df32323d277179f7cc73f84943dbc070963c464178271f3abefa705,
