codepoint,decimal,character,present,glyph_index,record_file_offset,record_hex,bearing_x,width,advance,reserved,u0,v0,u1,v1,own_nonzero,own_bbox,paired_00c7_nonzero,paired_00c7_bbox,paired_00c7_sha256
U+30B9,12473,ス,YES,114,0x2060A,03AC00CA03EE010C0004004200490000,4,66,73,0,940,202,1006,268,982,"[4,8,59,61]",830,"[0,7,66,54]",edefa6ba681e16d167215b2f8bb8451772c06831c89735d499d4935d8272b9b9
U+30BB,12475,セ,YES,115,0x2061A,03F300CA0435010C0004004200460000,4,66,70,0,1011,202,1077,268,1231,"[4,5,62,60]",1134,"[0,4,66,61]",b059ac0dd15266e298413e49f7794df2de69f3b19df5d14c6b3942fc89e40216
U+30BF,12479,タ,YES,116,0x2062A,043D00CA047F010C0007004200490000,7,66,73,0,1085,202,1151,268,1098,"[7,5,59,62]",1236,"[0,1,66,62]",f4beb908eec154506fb8faa3cc6e3325c0046852d37acb999fdf0243e2f11fb5
U+30C0,12480,ダ,YES,117,0x2063A,048600CA04C8010C0006004200420000,6,66,66,0,1158,202,1224,268,1226,"[6,1,66,62]",1108,"[0,2,66,57]",0a551079dafc4f8585aaf88e89d53354fd93ac7f0227d7e9eaac89bd9fc7eff9
U+30C3,12483,ッ,YES,118,0x2064A,04D300CA0515010C000A0042004E0000,10,66,78,0,1235,202,1301,268,588,"[10,21,54,63]",858,"[0,6,66,59]",76b4b34c43242fc3e024a21e6eff1d941d161ae6f235f5a1e75ff14a3beda660
U+30C6,12486,テ,YES,119,0x2065A,051A00CA055C010C0004004200470000,4,66,71,0,1306,202,1372,268,1040,"[4,7,61,62]",948,"[0,7,66,60]",33b8ec26bba9178a256e62c9eff1e979575858ae95a017e3fe0fcc24db18a5a9
U+30C7,12487,デ,YES,120,0x2066A,056000CA05A2010C0003004200430000,3,66,67,0,1376,202,1442,268,1191,"[3,0,65,62]",1141,"[0,7,66,58]",5aef849b0260b153a78ebe5a59b0630aafbf049155d57588230fc2bde91b9d5c
U+30C8,12488,ト,YES,121,0x2067A,05B300CA05F5010C00100042004C0000,16,66,76,0,1459,202,1525,268,790,"[16,5,56,62]",657,"[0,18,59,64]",68d62b166592b2c653d06e4afd95440465488bb84464f23f8c558da73e79e780
U+30CB,12491,ニ,YES,122,0x2068A,05FA00CA063C010C0004004200460000,4,66,70,0,1530,202,1596,268,829,"[4,14,62,58]",909,"[0,5,66,62]",018cccceed9eb9290bdc1ecaf1e15669356616c40dc6817386cce44dd12b90e1
U+30CF,12495,ハ,YES,123,0x2069A,064300CA0685010C0006004200480000,6,66,72,0,1603,202,1669,268,698,"[6,14,60,55]",743,"[0,13,66,58]",6bac04b08edb7101220de0e3ddcb5f52a30e6e2908bee08e5c70ec7604625004
U+30D0,12496,バ,YES,124,0x206AA,068C00CA06CE010C0006004200470000,6,66,71,0,1676,202,1742,268,851,"[6,5,61,55]",1115,"[0,13,63,62]",96927deb1808857a6883a8eb72edc7607cdcb5abc42781dbb310f7dfc5eabcc2
U+30D1,12497,パ,YES,125,0x206BA,06D500CA0717010C0006004200470000,6,66,71,0,1749,202,1815,268,835,"[6,8,61,55]",1325,"[0,8,66,62]",cbc8a2159e447d2a02502178b6d7030e3dab89517e235e6d3d5232f7e4c7e6f2
U+30D6,12502,ブ,YES,126,0x206CA,071C00CA075E010C0004004200420000,4,66,66,0,1820,202,1886,268,978,"[4,0,66,63]",1110,"[0,6,66,61]",cb0edfbeb28b5ea307432280283b57d465f4e496f7a5f331705ab62aa70c867b
U+30D7,12503,プ,YES,127,0x206DA,076300CA07A5010C0004004200420000,4,66,66,0,1891,202,1957,268,958,"[4,1,66,63]",920,"[6,7,66,60]",dc4fc3c82c29d57e9e982a38ee74dbd1c16925fb25bc9c1e6189c96fdd07f969
U+30DC,12508,ボ,YES,128,0x206EA,07AA00CA07EC010C0004004200470000,4,66,71,0,1962,202,2028,268,1483,"[4,1,61,62]",1012,"[5,7,66,59]",60ef6b52763fb29eeae404b9d1ded981a4a2bbf5a8151fb1d1a6dab44cef9ef8
U+30E0,12512,ム,YES,129,0x206FA,0006010D0048014F0005004200490000,5,66,73,0,6,269,72,335,940,"[6,8,59,61]",1198,"[1,5,62,64]",c3c411005781b38bc5070f9fc9009cc9230c9b50447e2bf5b740073bcc786408
U+30E1,12513,メ,YES,130,0x2070A,0050010D0092014F00070042004C0000,7,66,76,0,80,269,146,335,816,"[8,7,56,62]",1512,"[0,2,55,64]",b4670c71d311e4f47afa9cb088474a1867fb571725cd9148fc051b001d94a52f
U+30E3,12515,ャ,YES,131,0x2071A,009C010D00DE014F00090042004B0000,9,66,75,0,156,269,222,335,713,"[9,16,57,64]",1765,"[0,3,66,64]",89385340d0c8e282f266ac853d01506f215fbc95ceba20d071a6eab17e08213f
U+30E5,12517,ュ,YES,132,0x2072A,00E8010D012A014F00090042004A0000,9,66,74,0,232,269,298,335,699,"[9,24,58,61]",652,"[0,7,66,61]",a4b1e73d03336e90a306ed37168f3ca0092779a2b1caf1adab1fce599907a1af
U+30E9,12521,ラ,YES,133,0x2073A,0133010D0175014F0008004200480000,8,66,72,0,307,269,373,335,968,"[8,7,60,62]",1121,"[0,6,66,63]",d99f9ad8729f221230712229c4a567e2cf7b96b8e112f2beb722df2d2b617ebe
U+30EA,12522,リ,YES,134,0x2074A,0180010D01C2014F000A0042004F0000,10,66,79,0,384,269,450,335,884,"[10,5,53,62]",1165,"[0,6,66,61]",be1b2f76034b3fde3441961e3032a92c5b083f1663d3504a52049160fc4ff0ae
U+30EB,12523,ル,YES,135,0x2075A,01C7010D0209014F0004004200450000,4,66,69,0,455,269,521,335,1132,"[4,5,63,61]",1305,"[0,4,66,63]",bd4831a276d30f960aa2c5b81bcb783ce37180f6175f4a2d65940d0c0c0bbe4e
U+30EC,12524,レ,YES,136,0x2076A,0215010D0257014F000B004200470000,11,66,71,0,533,269,599,335,806,"[11,7,61,61]",1587,"[0,3,66,63]",ecb8cdc2a6318e85c4136eb2ae2691eaf453749aab1babb3faf86b7db90bf58c
U+30F3,12531,ン,YES,137,0x2077A,0261010D02A3014F0009004200470000,9,66,71,0,609,269,675,335,646,"[9,10,61,61]",1065,"[0,3,66,61]",ff2f3911179775859ab811663eea01f4b94ef51cc1a730dc1b3a6a79860f7a7f
U+30FB,12539,・,YES,138,0x2078A,02BD010D02FF014F00190042005B0000,25,66,91,0,701,269,767,335,183,"[25,26,41,41]",1401,"[6,3,66,64]",1a706eb2f0ed8dd77f39295fb166bc1a6de24c5dc8697be07fbe90cd53b71d0e
U+30FC,12540,ー,YES,139,0x2079A,0305010D0347014F0005004200470000,5,66,71,0,773,269,839,335,448,"[5,25,61,39]",1724,"[4,3,63,64]",90b225564ca341de83eb575721bb99c20bd9e5cf5d53172cb07ec7403a359e8a
U+4E00,19968,一,YES,140,0x207AA,034B010D038D014F0003004200460000,3,66,70,0,843,269,909,335,217,"[4,25,62,34]",1504,"[4,3,64,63]",15be2f18a95ad8067b3f990bc20ca44d3ecefe52d89aa8f50c9503a3c8d31901
U+4E0B,19979,下,YES,141,0x207BA,0392010D03D4014F0004004200450000,4,66,69,0,914,269,980,335,850,"[4,3,63,63]",780,"[2,4,62,63]",a22c1de3aeaf91a18902629a3b002990b6442d1b2163e1cbcffaf9ae68c856a2
U+4E16,19990,世,YES,142,0x207CA,03D8010D041A014F0003004200450000,3,66,69,0,984,269,1050,335,1643,"[3,4,63,63]",1385,"[0,3,61,63]",46465b29a1df42d0782577e60859328dcc9f720f19d9be2acdeb9c4fd2ecdbaf
U+4E2D,20013,中,YES,143,0x207DA,0423010D0465014F0008004200460000,8,66,70,0,1059,269,1125,335,1247,"[8,2,62,64]",1112,"[0,2,66,63]",7d463efccc7d07ccb451009b56b97b0ce3dbfc02febe3e1441d3bc998de43861
U+4E89,20105,争,YES,144,0x207EA,0468010D04AA014F0002004200440000,2,66,68,0,1128,269,1194,335,1401,"[2,2,64,63]",1039,"[0,2,66,63]",5215d9f7cd3e655b8cf86e30d5e102cad632320eba61131fa5fe7301a1a7528c
U+4E8B,20107,事,YES,145,0x207FA,04AE010D04F0014F0003004200440000,3,66,68,0,1198,269,1264,335,1706,"[3,3,64,64]",1223,"[0,3,66,63]",6f43225aecbeb3a4daf861c39291b72c6d6275c4fb829a57f9c5a21df03e327f
U+4E92,20114,互,YES,146,0x2080A,04F4010D0536014F0003004200440000,3,66,68,0,1268,269,1334,335,1187,"[3,5,64,59]",1199,"[0,3,66,63]",55b38a3a52666d7dfc232c8efc84bdfa32f39b2ef355d3c539dc3a98cc68e76b
U+4EBA,20154,人,YES,147,0x2081A,053B010D057D014F0004004200450000,4,66,69,0,1339,269,1405,335,878,"[4,5,63,62]",1500,"[0,3,66,64]",49937e9beae5e1ce3b563998b02455ebfad35c6dc652fa146068283c91deb6f2
U+4ED6,20182,他,YES,148,0x2082A,0580010D05C2014F0002004200430000,2,66,67,0,1408,269,1474,335,2078,"[2,3,64,63]",1167,"[0,3,66,64]",6a11a9d134d30fd952bf26acc6a6d19bf294b693b5e897501ed97469272c0c39
U+4ED8,20184,付,YES,149,0x2083A,05C6010D0608014F0003004200440000,3,66,68,0,1478,269,1544,335,1489,"[3,3,64,64]",1444,"[0,3,66,63]",4a2e5716221dc8005fdddb08e7d3947cacdae62cbf31dee7ca495139943f39d8
U+4EE3,20195,代,YES,150,0x2084A,060B010D064D014F0002004200440000,2,66,68,0,1547,269,1613,335,1529,"[2,3,64,63]",940,"[0,3,66,62]",46fc34e953e8d1a0b068e6a436a62eb09976d20c7a721b24b146e8651e855a7c
U+4EF2,20210,仲,YES,151,0x2085A,0650010D0692014F0002004200450000,2,66,69,0,1616,269,1682,335,1748,"[2,3,63,64]",1393,"[0,2,66,63]",33de40b2c2a96d38238e8cd0093b444a15b3613d9a76448e6101540dd41090ed
U+4EFB,20219,任,YES,152,0x2086A,0695010D06D7014F0002004200450000,2,66,69,0,1685,269,1751,335,1517,"[2,3,63,63]",1166,"[0,5,66,62]",215379c132194c059729d8f0943ac207b723cb7d711d709dddbc7d7b3cab0e6e
U+4F55,20309,何,YES,153,0x2087A,06DA010D071C014F0002004200450000,2,66,69,0,1754,269,1820,335,1762,"[2,3,63,64]",1708,"[0,3,66,64]",e999a87ca563748dce7d33bb5ed29f9607c14e0a87825b2d06c2d80eaf081b3c
U+4F5C,20316,作,YES,154,0x2088A,071E010D0760014F0001004200450000,1,66,69,0,1822,269,1888,335,1552,"[1,3,63,63]",1643,"[0,3,66,63]",d0a37779670013044e10331b2ccc710864c165eaa41c8d811b83c5cb81a1991d
U+4F7F,20351,使,YES,155,0x2089A,0761010D07A3014F0000004200450000,0,66,69,0,1889,269,1955,335,1971,"[0,3,63,64]",1325,"[0,3,66,62]",2dbc989391eb03e6f7ed79a245d9f85004d8603a966cbfc5f38de68164c8703a
U+4F9B,20379,供,YES,156,0x208AA,07A6010D07E8014F0002004200450000,2,66,69,0,1958,269,2024,335,1828,"[2,3,63,64]",1388,"[0,3,66,63]",99e0eadc113689c975ab03e26aac58c387c9df0d11f7efb5c44b03462a8f03c9
U+4FDD,20445,保,YES,157,0x208BA,00030150004501920002004200430000,2,66,67,0,3,336,69,402,1878,"[2,3,65,64]",1691,"[1,2,62,63]",5226d050be85fc2c8113c25f43e77f7767354ac30514a776f249cdeee5c39fef
U+4FFA,20474,俺,YES,158,0x208CA,00480150008A01920002004200450000,2,66,69,0,72,336,138,402,2165,"[2,3,63,64]",1854,"[0,2,62,64]",25f8d94449e86a2ad688f0c93f2ec419e1684014dff1bfe5f90e205969b3c645
U+5049,20553,偉,YES,159,0x208DA,008C015000CE01920001004200450000,1,66,69,0,140,336,206,402,1940,"[1,3,63,63]",1626,"[1,2,62,62]",00b1070760e0841df2f90d9d5854f6eab7513eef671260618b7dcab5cbed066e
U+50D5,20693,僕,YES,160,0x208EA,00D00150011201920001004200440000,1,66,68,0,208,336,274,402,2141,"[1,3,64,64]",1724,"[1,3,62,63]",a61db12ebe4ee095d704a2628999979ca6bf165beefbdb9a2dedd6c54e4c4b37
U+5168,20840,全,YES,161,0x208FA,01160150015801920003004200450000,3,66,69,0,278,336,344,402,1225,"[3,3,63,61]",1812,"[0,2,61,63]",602a4ef6f1c0293a6394958dec0f137854ccf96c42febe60f25dd8663233b4e0
U+5171,20849,共,YES,162,0x2090A,015D0150019F01920004004200450000,4,66,69,0,349,336,415,402,1401,"[4,4,63,63]",1890,"[0,3,66,64]",b1a0cdee582c3e55400c5aef8cba1f79650ff62f55eea5629925d4f2a9b4d4aa
U+5175,20853,兵,YES,163,0x2091A,01A3015001E501920003004200450000,3,66,69,0,419,336,485,402,1376,"[3,3,63,64]",1849,"[0,3,66,63]",64744348cf584fa14acc55e11f19077e09d76b4a9cb36485e19e90917626b0c6
U+5185,20869,内,YES,164,0x2092A,01EC0150022E01920006004200450000,6,66,69,0,492,336,558,402,1591,"[6,3,63,64]",1738,"[0,2,66,63]",d600cb20c9f0ac5030a572429f262c31fb098d744b1aa2d7984d92ddb570026d
U+51FA,20986,出,YES,165,0x2093A,02350150027701920006004200460000,6,66,70,0,565,336,631,402,1592,"[6,4,62,62]",1774,"[0,4,66,63]",11a7e0f5cfb7e3ce60729b73e74c5cc7bdeee42f3475c79ad8d35f2f140e98f3
U+5206,20998,分,YES,166,0x2094A,027C015002BE01920004004200430000,4,66,67,0,636,336,702,402,1270,"[4,4,65,64]",1727,"[0,3,66,63]",054bfb64861a07bfae412ece587306c2f77e646c2f1a57583a3eaae6e990710d
U+521D,21021,初,YES,167,0x2095A,02C10150030301920002004200450000,2,66,69,0,705,336,771,402,1921,"[2,3,63,64]",1784,"[0,3,66,63]",e80667c3e522bf46e8d856711b6048060cf542ff2f9c8d2975056127e4e19759
U+5229,21033,利,YES,168,0x2096A,03060150034801920002004200460000,2,66,70,0,774,336,840,402,1830,"[2,4,62,63]",1794,"[0,3,66,63]",e6c5f060546cf951740c94713b38c7c7561480b1fa566ed815d10b25b98e3781
U+524D,21069,前,YES,169,0x2097A,034C0150038E01920003004200450000,3,66,69,0,844,336,910,402,1928,"[3,2,63,64]",1837,"[0,3,66,63]",d6b296fce8f086d616ab610a2053d88f8c8fb4c81b713962f82c1583f3fdd8dc
U+5275,21109,創,YES,170,0x2098A,0391015003D301920002004200440000,2,66,68,0,913,336,979,402,2317,"[2,3,64,64]",1873,"[0,2,66,63]",7fdcc7afed79b65af028d4028996e8fe43dc28349aa90efcb7bc02169a713ac3
U+529B,21147,力,YES,171,0x2099A,03D80150041A01920004004200470000,4,66,71,0,984,336,1050,402,1145,"[4,4,61,63]",1941,"[0,2,66,63]",d87c4736ac0016778605be5b629cccf1eae19807f7cb00ccee90ae99028d9bb0
U+529F,21151,功,YES,172,0x209AA,041D0150045F01920002004200460000,2,66,70,0,1053,336,1119,402,1607,"[3,3,62,63]",1952,"[0,2,66,63]",a96fad93d6f726bb3b6a8fbe693c2ca4b5da7629c35b17b5c909c20c426484ed
U+52D9,21209,務,YES,173,0x209BA,0462015004A401920002004200450000,2,66,69,0,1122,336,1188,402,1990,"[2,3,63,63]",1906,"[0,3,66,64]",8615943fa9b671c56c2df2ef2e78031a587ff7d60c06a3dd9743a62f0bb2400b
U+52DD,21213,勝,YES,174,0x209CA,04A7015004E901920002004200440000,2,66,68,0,1191,336,1257,402,2355,"[2,3,64,64]",1777,"[0,3,66,63]",7b08fa07f94b4c63e297937265b19d4c163e1b8ca874eb3b42a807e1160af929
U+5316,21270,化,YES,175,0x209DA,04EB0150052D01920001004200450000,1,66,69,0,1259,336,1325,402,1541,"[2,3,63,64]",1945,"[0,3,66,62]",82f68ca321b6ee7b8bc6d8af9f6e4107e58e1c6a9938dcd5a7d3ed61a0ba2479
U+5317,21271,北,YES,176,0x209EA,05310150057301920003004200440000,3,66,68,0,1329,336,1395,402,1563,"[4,4,64,63]",1672,"[0,3,66,63]",38f90e37f9401fa9cfdc1a525fbb42e3c6d6028f0e63c492f90793668e5e1448
U+5343,21315,千,YES,177,0x209FA,0578015005BA01920004004200450000,4,66,69,0,1400,336,1466,402,891,"[4,5,63,64]",1870,"[0,3,66,63]",58adfb4ea7b0a7fe1a506b90e7f1f17ca3036f8dd126c3ee19fa6f1db2cad1fc
U+5357,21335,南,YES,178,0x20A0A,05BF0150060101920004004200440000,4,66,68,0,1471,336,1537,402,1871,"[4,4,64,64]",1882,"[0,3,66,63]",f77e8cb9ea4de039a2868576d22ac5a9759ba57a52961de5b30a8acecab7d245
U+535A,21338,博,YES,179,0x20A1A,06040150064601920002004200440000,2,66,68,0,1540,336,1606,402,2076,"[2,3,64,64]",1671,"[0,2,66,63]",dafde29563b520ee0f4200fa9c24b636443813b133a3c8c4ed3971628191c742
U+53BB,21435,去,YES,180,0x20A2A,06490150068B01920002004200450000,2,66,69,0,1609,336,1675,402,1283,"[3,4,63,64]",1783,"[0,3,66,63]",bda025a80813af8291accb176f362a21038438061b75c44629380363b6cf9f8f
U+540C,21516,同,YES,181,0x20A3A,0692015006D401920006004200460000,6,66,70,0,1682,336,1748,402,1836,"[6,3,62,64]",1964,"[0,3,66,64]",44a03eddc97157ea4c9814d756c3a024d64e5e9072c1ab532a7d6d2f59673c98
U+540D,21517,名,YES,182,0x20A4A,06DA0150071C01920005004200470000,5,66,71,0,1754,336,1820,402,1341,"[5,3,61,63]",1931,"[0,2,66,63]",9dfca14257c2f42c4c2009ba9b4e414c2d8f186c6a5b1d40359c6bea5871df01
U+5411,21521,向,YES,183,0x20A5A,07230150076501920006004200460000,6,66,70,0,1827,336,1893,402,1708,"[6,3,62,64]",2024,"[0,3,66,64]",b431b5d111d163203ac11b32666186e9c09e219964933633663ceff699ffd274
U+5473,21619,味,YES,184,0x20A6A,076A015007AC01920004004200430000,4,66,67,0,1898,336,1964,402,1835,"[4,2,65,63]",1816,"[0,2,66,63]",9c4034d771918bb00a1436a49cfc8e78ddcddaa1c688f0e764147c216129b6c3
U+547D,21629,命,YES,185,0x20A7A,00020193004401D50001004200440000,1,66,68,0,2,403,68,469,1701,"[2,3,64,63]",1775,"[7,3,66,63]",c57d1955480f79772a0b6fe7b72a02620b93e1f849f62f545cbd514cd4e3ee5d
U+548C,21644,和,YES,186,0x20A8A,00480193008A01D50003004200450000,3,66,69,0,72,403,138,469,1809,"[3,3,63,63]",2001,"[2,2,65,63]",4fbe62596166c97379c082d45e28fa91318fda7ffaf088d84ab84afef80451df
U+5606,22022,嘆,YES,187,0x20A9A,0090019300D201D50005004200440000,5,66,68,0,144,403,210,469,1998,"[5,3,64,64]",1311,"[10,3,61,62]",56b27456f9cd204befff0795a16fb4904259ef2c714e3805b715ce5053713888
U+5668,22120,器,YES,188,0x20AAA,00D40193011601D50001004200440000,1,66,68,0,212,403,278,469,2156,"[2,4,64,64]",1205,"[20,7,66,63]",658dc40c684717832114892b87de05dc6d4f012cb0b0bd644fb835f21d681cdd
U+56FD,22269,国,YES,189,0x20ABA,011D0193015F01D50006004200440000,6,66,68,0,285,403,351,469,1941,"[6,3,64,63]",1765,"[11,6,66,62]",e7845c7459f0aab4516896e1aa8781006d01c51dcae4da812f9a9e9e87ce2292
U+5728,22312,在,YES,190,0x20ACA,0163019301A501D50003004200450000,3,66,69,0,355,403,421,469,1418,"[3,3,63,63]",1642,"[0,6,66,62]",7fa5f72892306e8ac35f08e843602240ab767d5f9e4e798cfc9b8fb24110dfe3
U+5730,22320,地,YES,191,0x20ADA,01A8019301EA01D50002004200440000,2,66,68,0,424,403,490,469,2109,"[2,3,64,62]",1681,"[0,6,66,63]",543578f076a54140526ba209099c2a86844b0630dca65ee13015883387a2be29
U+57FA,22522,基,YES,192,0x20AEA,01EC0193022E01D50001004200440000,1,66,68,0,492,403,558,469,1785,"[1,4,64,62]",1144,"[0,6,66,62]",b21f8f8b566836d8c6aad28ffacd85cbb32322189050499024759f2f01d285c1
U+5815,22549,堕,YES,193,0x20AFA,02310193027301D50002004200450000,2,66,69,0,561,403,627,469,2114,"[2,2,63,61]",1451,"[0,6,66,63]",4efb72146435bba798e981aba71baa75aeb98d76701bad6f68ef40c02426a0ac
U+5834,22580,場,YES,194,0x20B0A,0276019302B801D50002004200430000,2,66,67,0,630,403,696,469,2097,"[2,2,65,64]",1464,"[0,6,66,63]",7f89c634f133cf04d4676d4aef39c2c743ccd81f0f6fc11ea836118fa190b532
U+589C,22684,墜,YES,195,0x20B1A,02BC019302FE01D50003004200450000,3,66,69,0,700,403,766,469,2079,"[3,2,63,61]",1419,"[0,2,66,63]",ebeac0638ba40bbfa44b741914f5ed1232d9b41ff1fc7af6e0cb7a909c4ced4b
U+58EB,22763,士,YES,196,0x20B2A,03020193034401D50003004200450000,3,66,69,0,770,403,836,469,863,"[3,4,63,59]",1192,"[0,7,66,63]",ca60a149491f3ba593c128d6e8ad310f9f3fd829b8944bd607d2e03011c36044
U+58F0,22768,声,YES,197,0x20B3A,03480193038A01D50003004200450000,3,66,69,0,840,403,906,469,1247,"[3,3,63,64]",1176,"[0,2,66,64]",3518f72a6244bc3336381739a6ff9a6ab483bfdbc320394e79431d77bc5fcea2
U+58F2,22770,売,YES,198,0x20B4A,038E019303D001D50003004200440000,3,66,68,0,910,403,976,469,1594,"[3,3,64,64]",1699,"[0,3,66,63]",c1ed9516a2ed98d29e16a64c6e4cbaa3b015c7db168b08b06e29578515d4fc30
U+5909,22793,変,YES,199,0x20B5A,03D40193041601D50003004200450000,3,66,69,0,980,403,1046,469,1738,"[3,4,63,64]",1614,"[0,3,66,63]",80ce25113ca29907039c43a109a8ae9386ff48878ecc9c7fe9ab01d14160422c
U+591A,22810,多,YES,200,0x20B6A,041A0193045C01D50003004200440000,3,66,68,0,1050,403,1116,469,1442,"[4,2,64,64]",1540,"[0,3,66,63]",1f9a4949ad739f11d4e46b00b5d4b531ae52284e2576a97bf19d12a4ef267efc
U+5927,22823,大,YES,201,0x20B7A,0460019304A201D50003004200450000,3,66,69,0,1120,403,1186,469,1068,"[3,4,63,63]",1258,"[0,6,66,62]",144968d0a0a1b5353059815ac24b11bc7ad44251c0d5edc6a85a33155d15ce9d
U+5931,22833,失,YES,202,0x20B8A,04A6019304E801D50003004200440000,3,66,68,0,1190,403,1256,469,1321,"[3,4,64,64]",1594,"[0,4,66,62]",df4efd4c679e74db9be9de6c158257c9e58b2bcdf7c85ab8436289ac82d8aa45
U+5973,22899,女,YES,203,0x20B9A,04EC0193052E01D50003004200450000,3,66,69,0,1260,403,1326,469,1380,"[3,4,63,64]",1346,"[0,5,66,62]",08db7f88560b3be514025e02ce65a285a17ca2872eb6e02f6a2fdc778c01adf0
U+5974,22900,奴,YES,204,0x20BAA,05310193057301D50002004200440000,2,66,68,0,1329,403,1395,469,1746,"[2,3,64,64]",1195,"[0,6,66,63]",0082e8186fd074e7187a97cc59a6d5526955c7d941f2dc5b8a07d3668a86b12f
U+59CB,22987,始,YES,205,0x20BBA,0577019305B901D50003004200440000,3,66,68,0,1399,403,1465,469,1952,"[3,2,64,63]",1296,"[0,7,66,62]",6ccbbb60b7dff3c05f813eb891f7fa838a1c21f11fe55995c6372e5e1a1e1440
U+5B50,23376,子,YES,206,0x20BCA,05BD019305FF01D50003004200450000,3,66,69,0,1469,403,1535,469,892,"[3,4,63,64]",1342,"[0,4,66,64]",b2c66e647a45babde1432de140d436a788cfeda446cd3627b28953449c989132
U+5B58,23384,存,YES,207,0x20BDA,06030193064501D50003004200440000,3,66,68,0,1539,403,1605,469,1431,"[3,3,64,65]",1149,"[0,8,66,64]",53f076646c4b23a6239646540f3d7af07d689cf4e27a9d3742fc337733d0d35c
U+5B88,23432,守,YES,208,0x20BEA,06490193068B01D50003004200440000,3,66,68,0,1609,403,1675,469,1236,"[3,3,64,64]",1078,"[0,4,66,63]",593ff874c6ed272945811b513612913694c5222b2c28f3f361f844891b1a6f2d
U+5B8C,23436,完,YES,209,0x20BFA,068F019306D101D50003004200430000,3,66,67,0,1679,403,1745,469,1448,"[3,4,65,64]",1253,"[0,4,66,63]",9b9c6ab8464c667ca7afeb863a1ab0f7c9718a3edfbbf28066b2dce5d8e8271b
U+5B9F,23455,実,YES,210,0x20C0A,06D50193071701D50003004200450000,3,66,69,0,1749,403,1815,469,1523,"[3,4,63,63]",1170,"[0,5,65,61]",cf1a981ea6afc2b9e4ef5e0145706cb5d37c1a1fc47d80c3fbdc10ca865b4b6b
U+5BB6,23478,家,YES,211,0x20C1A,071A0193075C01D50002004200440000,2,66,68,0,1818,403,1884,469,1653,"[2,3,64,64]",1277,"[0,4,66,63]",22190fff0568abae7032d40ba6bab142f8410e27063d69bbcfb7b4eb26c181b1
U+5BB9,23481,容,YES,212,0x20C2A,0760019307A201D50003004200450000,3,66,69,0,1888,403,1954,469,1605,"[3,3,63,64]",1597,"[0,5,66,63]",5ddf56d76334874d094741fa1a70f3a44ba2f29d7838d0c3a30d5c8e786ab2ec
U+5BBF,23487,宿,YES,213,0x20C3A,07A5019307E701D50002004200450000,2,66,69,0,1957,403,2023,469,1808,"[2,3,63,64]",1550,"[0,5,66,63]",3803b223445523c05af9466229dbb948e98afb23f1ba956c549da39465a44fe1
U+5BC4,23492,寄,YES,214,0x20C4A,000301D6004502180002004200450000,2,66,69,0,3,470,69,536,1696,"[3,3,63,64]",1893,"[6,3,63,65]",cb44c3dc4ee403abad634e9072e0e6b61420a16d81557937658bdbcb3d6dc3c5
U+5BDF,23519,察,YES,215,0x20C5A,004801D6008A02180002004200440000,2,66,68,0,72,470,138,536,1920,"[2,3,64,64]",1874,"[6,5,62,64]",f2c0ab5d79aaf1727c8b49eb8f0a5c4c3674b48a91926c029191a82c35a4f013
U+5BFE,23550,対,YES,216,0x20C6A,008D01D600CF02180002004200440000,2,66,68,0,141,470,207,536,1586,"[2,4,64,63]",1845,"[4,2,65,63]",cb8755cfa3d49f7abdedd1a51da632ed7a56829cd1ac056d441f16887d8062d4
U+5C0E,23566,導,YES,217,0x20C7A,00D201D6011402180002004200450000,2,66,69,0,210,470,276,536,1952,"[2,3,63,64]",2117,"[6,3,64,64]",29260c87d3fd7735af6ca87c40c1de1af16854353d6a16098229fb367708f88f
U+5C4D,23629,屍,YES,218,0x20C8A,011701D6015902180002004200450000,2,66,69,0,279,470,345,536,1993,"[2,3,63,64]",2027,"[7,3,65,64]",d44afb90de7f1ed41811efe7881e22aba5e966bc6b3778182bb246c4b2535cad
U+5DE6,24038,左,YES,219,0x20C9A,015C01D6019E02180002004200460000,2,66,70,0,348,470,414,536,1139,"[2,4,62,60]",2052,"[5,2,66,64]",8547d65da0f4e33fd6a35f5c65dbd51a0580c2e6397a9d45cfa2b19781f49cca
U+5E2F,24111,帯,YES,220,0x20CAA,01A101D601E302180002004200440000,2,66,68,0,417,470,483,536,1881,"[2,3,64,64]",2200,"[5,3,66,63]",205105643e8fb25ca99a27ad2f4fa474cedd260f7da3e7cd82eaa9601fb1c205
U+5E73,24179,平,YES,221,0x20CBA,01E601D6022802180002004200450000,2,66,69,0,486,470,552,536,1228,"[3,3,63,64]",1966,"[5,3,66,64]",bbfed008d1431df61b962523084ae03f2e7dacf01447f670f97519009ba13525
U+5E74,24180,年,YES,222,0x20CCA,022B01D6026D02180002004200450000,2,66,69,0,555,470,621,536,1292,"[2,3,63,63]",1831,"[6,3,66,63]",d4973c1fecf139047865ab73e192b81bf2e42646cae58c5f878576df44b08e4f
U+5E9C,24220,府,YES,223,0x20CDA,027001D602B202180002004200440000,2,66,68,0,624,470,690,536,1864,"[2,3,64,64]",1959,"[7,3,65,64]",b6efcf332dbdbaa0a174f99707cee966a67d724584998612a49e7e6633d33d8f
