character,codepoint,production_occurrences,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
僵,U+50F5,10,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
儿,U+513F,348,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
允,U+5141,63,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
元,U+5143,46,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
兄,U+5144,5,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
充,U+5145,123,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
兆,U+5146,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
先,U+5148,336,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
光,U+5149,556,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
克,U+514B,1116,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
免,U+514D,37,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
兔,U+5154,9,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
党,U+515A,12,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
入,U+5165,3090,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
全,U+5168,693,CN_ALREADY_COVERED,NO,YES,YES,YES,YES,YES
八,U+516B,14,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
公,U+516C,63,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
六,U+516D,37,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
兰,U+5170,149,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
共,U+5171,98,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
关,U+5173,914,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
兴,U+5174,125,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
兵,U+5175,2886,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
其,U+5176,1083,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
具,U+5177,908,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
典,U+5178,8,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
兹,U+5179,73,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
养,U+517B,32,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
兼,U+517C,26,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
兽,U+517D,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
内,U+5185,1084,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
册,U+518C,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
再,U+518D,703,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
冒,U+5192,32,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
冕,U+5195,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
写,U+5199,69,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
军,U+519B,1265,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
农,U+519C,35,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
冠,U+51A0,12,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
冬,U+51AC,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
冰,U+51B0,9,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
冲,U+51B2,685,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
决,U+51B3,204,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
况,U+51B5,216,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
冷,U+51B7,154,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
冻,U+51BB,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
净,U+51C0,11,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
准,U+51C6,1336,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
凉,U+51C9,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
凌,U+51CC,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
减,U+51CF,104,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
凑,U+51D1,96,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
凝,U+51DD,18,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
几,U+51E0,187,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
凡,U+51E1,5,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
凤,U+51E4,28,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
凭,U+51ED,31,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
凶,U+51F6,9,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
凸,U+51F8,4,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
凹,U+51F9,2,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
出,U+51FA,2235,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
击,U+51FB,4387,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
凿,U+51FF,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
刀,U+5200,12,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
分,U+5206,1050,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
切,U+5207,961,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
刊,U+520A,45,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
刑,U+5211,138,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
划,U+5212,215,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
列,U+5217,255,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
刘,U+5218,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
则,U+5219,185,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
刚,U+521A,458,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
创,U+521B,230,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
初,U+521D,158,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
删,U+5220,218,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
判,U+5224,61,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
利,U+5229,387,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
别,U+522B,965,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
刮,U+522E,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
到,U+5230,3745,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
制,U+5236,2601,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
刷,U+5237,13,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
刹,U+5239,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
刺,U+523A,68,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
刻,U+523B,97,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
剂,U+5242,15,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
削,U+524A,40,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
前,U+524D,1670,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
剑,U+5251,141,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
剔,U+5254,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
剥,U+5265,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
剧,U+5267,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
剩,U+5269,198,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
剪,U+526A,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
副,U+526F,67,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
割,U+5272,7,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
剽,U+527D,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
力,U+529B,3148,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
劝,U+529D,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
办,U+529E,204,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
功,U+529F,446,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
加,U+52A0,2705,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
务,U+52A1,2970,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
劣,U+52A3,5,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
动,U+52A8,3617,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
助,U+52A9,214,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
努,U+52AA,21,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
劫,U+52AB,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
励,U+52B1,55,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
劲,U+52B2,84,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
劳,U+52B3,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
势,U+52BF,124,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
勃,U+52C3,15,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
勇,U+52C7,4,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
勉,U+52C9,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
勋,U+52CB,69,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
勒,U+52D2,240,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
募,U+52DF,108,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
勤,U+52E4,5,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
勾,U+52FE,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
勿,U+52FF,106,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
匀,U+5300,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
包,U+5305,197,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
匍,U+530D,80,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
匐,U+5310,80,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
化,U+5316,463,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
北,U+5317,733,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
匙,U+5319,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
匠,U+5320,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
匣,U+5323,69,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
匪,U+532A,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
匹,U+5339,29,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
区,U+533A,833,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
医,U+533B,170,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
匿,U+533F,5,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
十,U+5341,88,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
千,U+5343,43,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
升,U+5347,1612,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
午,U+5348,7,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
半,U+534A,174,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
华,U+534E,71,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
协,U+534F,85,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
卑,U+5351,39,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
卓,U+5353,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
单,U+5355,793,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
卖,U+5356,20,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
南,U+5357,715,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
博,U+535A,85,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
卜,U+535C,5,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
占,U+5360,209,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
卡,U+5361,598,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
卢,U+5362,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
卦,U+5366,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
卧,U+5367,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
卫,U+536B,592,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
印,U+5370,99,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
危,U+5371,115,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
即,U+5373,1007,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
却,U+5374,121,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
卵,U+5375,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
卷,U+5377,20,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
卸,U+5378,19,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厂,U+5382,37,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厅,U+5385,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
历,U+5386,58,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厉,U+5389,212,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
压,U+538B,213,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厌,U+538C,47,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厕,U+5395,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厘,U+5398,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厚,U+539A,30,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
原,U+539F,372,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
厢,U+53A2,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厥,U+53A5,37,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
厨,U+53A8,36,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
厮,U+53AE,2,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
去,U+53BB,2623,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
参,U+53C2,127,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
又,U+53C8,380,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
叉,U+53C9,15,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
及,U+53CA,217,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
友,U+53CB,389,CN_ALREADY_COVERED,NO,YES,NO,YES,YES,YES
双,U+53CC,319,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
反,U+53CD,430,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
发,U+53D1,7101,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
取,U+53D6,1004,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
受,U+53D7,618,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
变,U+53D8,630,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
叛,U+53DB,100,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
叠,U+53E0,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
口,U+53E3,1038,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
古,U+53E4,162,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
句,U+53E5,68,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
另,U+53E6,106,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
只,U+53EA,1096,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
叫,U+53EB,311,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
召,U+53EC,22,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
叮,U+53EE,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
可,U+53EF,4921,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
台,U+53F0,385,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
史,U+53F2,32,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
右,U+53F3,222,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
叶,U+53F6,37,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
号,U+53F7,478,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
司,U+53F8,197,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
叹,U+53F9,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吃,U+5403,536,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
各,U+5404,325,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
合,U+5408,539,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
吉,U+5409,46,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吊,U+540A,70,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
同,U+540C,1407,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
名,U+540D,700,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
后,U+540E,2986,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吐,U+5410,5,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
向,U+5411,817,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
吓,U+5413,68,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吗,U+5417,3370,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
君,U+541B,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
吝,U+541D,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
吞,U+541E,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
否,U+5426,326,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
吧,U+5427,2422,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吨,U+5428,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吩,U+5429,4,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
含,U+542B,126,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
听,U+542C,1040,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
启,U+542F,569,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吵,U+5435,10,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吸,U+5438,189,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
吹,U+5439,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
吻,U+543B,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
吼,U+543C,17,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
呀,U+5440,34,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
呃,U+5443,168,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
呈,U+5448,10,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
告,U+544A,1135,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
呐,U+5450,28,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
呕,U+5455,5,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
员,U+5458,1174,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
呛,U+545B,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
呜,U+545C,59,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
呢,U+5462,406,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
周,U+5468,174,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
味,U+5473,247,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
呵,U+5475,49,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
呼,U+547C,64,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
命,U+547D,1366,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
咆,U+5486,6,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
和,U+548C,2240,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
咐,U+5490,4,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咒,U+5492,77,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
咕,U+5495,9,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
咖,U+5496,193,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
咚,U+549A,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
咦,U+54A6,95,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
咧,U+54A7,6,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咨,U+54A8,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咫,U+54AB,6,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咬,U+54AC,50,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
咯,U+54AF,28,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
咳,U+54B3,2,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
咸,U+54B8,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
咻,U+54BB,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
咽,U+54BD,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哀,U+54C0,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
品,U+54C1,587,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
哇,U+54C7,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哈,U+54C8,140,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
响,U+54CD,111,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哎,U+54CE,21,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哒,U+54D2,11,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哔,U+54D4,2,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
哟,U+54DF,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哥,U+54E5,755,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哦,U+54E6,90,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哨,U+54E8,16,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
哪,U+54EA,433,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哭,U+54ED,19,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
哮,U+54EE,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
哲,U+54F2,6,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
哺,U+54FA,41,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
哼,U+54FC,12,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
唇,U+5507,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
唉,U+5509,9,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
唐,U+5510,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
唔,U+5514,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
唤,U+5524,11,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
售,U+552E,17,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
唯,U+552F,15,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
唱,U+5531,148,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
唾,U+553E,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
啃,U+5543,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
啄,U+5544,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
商,U+5546,24,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
啊,U+554A,1013,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
啜,U+555C,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
啡,U+5561,115,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
啤,U+5564,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
啦,U+5566,35,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
啧,U+5567,76,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
啪,U+556A,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
啾,U+557E,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
喀,U+5580,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
喂,U+5582,413,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
善,U+5584,40,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
喉,U+5589,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
喊,U+558A,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
喔,U+5594,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
喘,U+5598,39,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
喙,U+5599,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
喜,U+559C,289,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
喝,U+559D,66,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
喱,U+55B1,78,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
喵,U+55B5,220,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
喷,U+55B7,93,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嗅,U+55C5,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
嗜,U+55DC,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嗨,U+55E8,12,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嗯,U+55EF,675,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嗷,U+55F7,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嘎,U+560E,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嘛,U+561B,164,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嘟,U+561F,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
嘱,U+5631,5,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嘲,U+5632,4,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
嘴,U+5634,32,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
嘶,U+5636,6,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
嘿,U+563F,95,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
