jpn_base,jpn_ruby,cn_base,cn_ruby,occurrence_count
自由な祖国か死か,パトリア リブレ オ モリール,祖国自由或死亡,Patria Libre o Morir,1
英雄,ザ・ボス,英雄,THE BOSS,1
英雄,ヒーロー,英雄,HERO,2
菓子職人,パティシエ,糕点师,PATISSIER,1
葉巻,キューバ,雪茄,CUBA,1
蒸気機関車,SL,蒸汽机车,SL,1
藁人形,デコイ,稻草人,DECOY,1
蛇,セルピエンテ,蛇,SERPIENTE,1
蛇の王,バシリスコ,蛇王,Basilisco,1
行け,ムーブ,前进,MOVE,1
行政府,ワシントンDC,行政中枢,WASHINGTON DC,1
被験体,モルモット,实验体,GUINEA PIG,1
装備品,アイテム,装备,items,1
補助員,パラ,辅助人员,Para,1
複合長波信号,MLF,复合长波信号,MLF,1
要,い,能有,NEED,1
見つかっちゃった,"Ah, tu m'as trouve!",被你找到了,"Ah, tu m'as trouve!",1
親米政権,ソモサ,亲美政权,SOMOZA,1
計画,ゲーム,计划,GAME,1
設計局,OKB-1,设计局,OKB-1,1
警備隊,グァルディア,国民警卫队,LA GUARDIA,1
起動,イニシエイト,启动,启动,1
躊躇,ためら,犹豫,迟疑,1
身内,コールドマン,自己人,COLDMAN,1
輪,リング,圈,环,1
追討,ハントダウン,追捕,HUNT DOWN,1
通信終わり,アウト,通信结束,OUT,1
連合国軍最高司令官総司令部,GHQ,盟军最高司令官总司令部,GHQ,1
連結,ジョイント,对接,JOINT,1
連絡,コール,联系,CALL,1
連絡便,ゴンドラ,联络船,GONDOLA,1
遠隔測定,テレメタリング,遥测,TELEMETRY,1
遺伝子,ジーン,基因,GENE,1
遺志,ウィル,遗志,WILL,1
遺跡,ラボ,遗迹,实验室,1
避難所,ヘイブン,避风港,HAVEN,1
金属の歯車,メタル・ギア,金属齿轮,METAL GEAR,1
金持ち,ブルジョア,有钱人,BOURGEOIS,1
長期人民戦争派,GPP,长期人民战争派,GPP,1
防弾着,ボディアーマー,防弹衣,body armor,1
降着地点,ドロップゾーン,空投区,DROP ZONE,1
電子計算機,コンピュータ,电子计算机,COMPUTER,1
電子諜報,シギント,信号情报,SIGINT,2
電子防諜,シギント,电子防谍,SIGINT,1
電磁くすぐり棒,ラフィング・ロッド,电磁挠痒棒,LAUGHING ROD,1
電磁パルス,EMP,电磁脉冲,EMP,1
霊魂,ゴースト,灵魂,GHOST,1
領海域外,オフショア,公海,OFFSHORE,1
飛び抜け,フライパスし,掠过,FLY PAST,1
飛行,フライト,飞行,FLIGHT,1
麻薬,コカイン,毒品,COCAINE,1
黄金の国,ジパング,黄金之国,Zipangu,1
黄金の果物,フルタ・デ・オロ ,黄金果实,fruta de oro,1
黒いんげん豆,フリホレス,黑豆,FRIJOLES,1
ＢＩＧＢＯＳＳ,ビッグボス,BIG BOSS,BIG BOSS,1
ＦＯＸ,フォックス,FOX,FOX,1
